species.name,species,type,transect,ring.type
Acer_glabrum,acegla,tree,west,Diffuse
Acer_pensylvanicum,acepen,tree,east,NA
Acer_rubrum,acerub,tree,east,NA
Acer_saccharum,acesac,tree,east,NA
Alnus_incana,alninc,shrub,east/west,Diffuse
Alnus_viridis,alnvir,shrub,west,Diffuse
Amelanchier_alnifolia,amealn,shrub,west,Diffuse/semi-ring
Aronia_melanocarpa,aromel,shrub,east,NA
Betula_alleghaniensis,betall,tree,east,NA
Betula_lenta,betlen,tree,east,NA
Betula_papyrifera,betpap,tree,east/west,Diffuse
Corylus_cornuta,corcor,shrub,east,Diffuse
Fagus_grandifolia,faggra,tree,east,Semi-ring
Fraxinus_nigra,franig,tree,east,Ring
Hamamelis_virginiana,hamvir,shrub,east,Diffuse
Ilex_mucronata,ilemuc,shrub,east,Diffuse
Kalmia_angustifolia,kalang,shrub,east,Diffuse
Lonicera_canadensis,loncan,shrub,east,Semi-ring
Lonicera_involucrata,loninv,shrub,west,Diffuse/semi-ring
Lyonia_ligustrina,lyolig,shrub,east,NA
Menziesia_ferruginea,menfer,shrub,west,Semi-ring
Nyssa_sylvatica,nyssyl,tree,east,NA
Populus_balsamifera,popbal,tree,west,Diffuse
Populus_grandidentata,popgra,tree,east,Diffuse
Populus_tremuloides,poptre,tree,east/west,Diffuse
Prunus_pensylvanica,prupen,tree,east,Semi-ring
Quercus_alba,quealb,tree,east,Ring
Quercus_rubra,querub,tree,east,Ring
Quercus_velutina,quevel,tree,east,Ring
Rhamnus_frangula,rhafra,shrub,east,NA
Rhododendron_albiflorum,rhoalb,shrub,west,Diffuse
Rhododendron_prinophyllum,rhopri,shrub,east,Diffuse
Rubus_parviflorus,rubpar,shrub,west,NA
Ribes_lacustre,riblac,shrub,west,Diffuse/semi-ring
Shepherdia_canadensis,shecan,shrub,west,Semi-ring
Sambucus_racemosa,samrac,shrub,west,Diffuse
Sorbus_scopulina,sorsco,shrub,west,Semi-ring
Spiraea_alba,spialb,shrub,west,NA
Spiraea_betulifolia,spibet,shrub,west,Diffuse/semi-ring
Spiraea_pyramidata,spipyr,shrub,west,NA
Symphoricarpos_albus,symalb,shrub,west,NA
Vaccinium_membranaceum,vacmem,shrub,west,Diffuse
Vaccinium_myrtilloides,vacmyr,shrub,east,Diffuse
Viburnum_cassinoides,vibcas,shrub,east,Diffuse
Viburnum_edule,vibedu,shrub,west,Diffuse
Viburnum_lantanoides,viblan,shrub,east,Diffuse
Cornus_stolonifera,corsto,shrub,west,Diffuse
