"sample","site","species","ssd","per.N","per.C","ht","dbh","dbh2","dbh3","lma","C.N","type","transect","latitude","latZ"
"ACEPEN01_GR","GR","acepen",0.402877697841727,2.585346515,44.85988686,6,2.6,NA,NA,0.0315292004948714,17.4,NA,"1",43.99837498,-1.06799594411452
"ACEPEN03_GR","GR","acepen",0.394366197183099,2.325918449,45.77135595,5,2.4,NA,NA,0.0306774727469893,19.7,NA,"1",43.99837498,-1.06799594411452
"ACEPEN04_GR","GR","acepen",0.4375,1.398805663,33.29218704,4,1,1.2,1.2,0.0304383480213283,23.8,NA,"1",43.99837498,-1.06799594411452
"ACEPEN05_GR","GR","acepen",0.465753424657534,2.572024958,44.8465225,7,3.7,NA,NA,0.0208742790345164,17.4,NA,"1",43.99837498,-1.06799594411452
"ACEPEN06_GR","GR","acepen",0.483870967741935,2.517741209,45.09945635,7,3.5,NA,NA,0.0215216633249063,17.9,NA,"1",43.99837498,-1.06799594411452
"ACEPEN07_GR","GR","acepen",0.415254237288136,2.083573353,44.54098929,5,2,NA,NA,0.0346295199901697,21.4,NA,"1",43.99837498,-1.06799594411452
"ACEPEN08_GR","GR","acepen",NA,NA,NA,9.25,8.1,5.5,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"ACEPEN09_GR","GR","acepen",NA,NA,NA,5,2.8,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"ACEPEN10_GR","GR","acepen",NA,NA,NA,4.5,3.3,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"ACEPEN11_GR","GR","acepen",NA,NA,NA,6,3.6,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"ACERUB01_GR","GR","acerub",0.527472527472527,2.267650974,47.24363552,22,4.7,21.5,5.2,0.0465232795333357,20.8,NA,"1",43.99837498,-1.06799594411452
"ACERUB02_GR","GR","acerub",0.539823008849558,2.534112426,46.65880561,6,4.2,NA,NA,0.0359686353499748,18.4,NA,"1",43.99837498,-1.06799594411452
"ACERUB03_GR","GR","acerub",0.651063829787234,1.932327915,39.89717348,11,10.2,9.2,NA,0.0441938797448699,20.6,NA,"1",43.99837498,-1.06799594411452
"ACERUB04_GR","GR","acerub",0.427272727272727,1.985864724,47.11777166,18,3.6,18.7,10.8,0.0499012592104984,23.7,NA,"1",43.99837498,-1.06799594411452
"ACERUB05_GR","GR","acerub",0.504761904761905,1.601550775,40.1769574,8,5.1,NA,NA,NA,25.1,NA,"1",43.99837498,-1.06799594411452
"ACERUB06_GR","GR","acerub",0.586854460093897,2.334208812,47.57256492,6,4.5,5.4,NA,0.0445591957855217,20.4,NA,"1",43.99837498,-1.06799594411452
"ACERUB07_GR","GR","acerub",NA,NA,NA,18,5.5,15.2,16.6,NA,NA,NA,"1",43.99837498,-1.06799594411452
