"","ind","sp","site","treatcode","warm","photo","chill","tleafm","lleafm","Height","DBH","stom_den","sla","wood_d","cn"
"13","ACEPEN02_HF","ACEPEN","HF","CL0","15","12","chill0",0,0,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"14","ACEPEN02_HF","ACEPEN","HF","CL1","15","12","chill1",0,0,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"15","ACEPEN02_HF","ACEPEN","HF","CL2","15","12","chill2",0,0,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"16","ACEPEN02_HF","ACEPEN","HF","CS0","15","08","chill0",0,0,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"17","ACEPEN02_HF","ACEPEN","HF","CS1","15","08","chill1",0,0,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"18","ACEPEN02_HF","ACEPEN","HF","CS2","15","08","chill2",0,0,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"19","ACEPEN02_HF","ACEPEN","HF","WL0","20","12","chill0",0,0,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"20","ACEPEN02_HF","ACEPEN","HF","WL1","20","12","chill1",0,0,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"21","ACEPEN02_HF","ACEPEN","HF","WL2","20","12","chill2",0,0,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"22","ACEPEN02_HF","ACEPEN","HF","WS0","20","08","chill0",0,0,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"23","ACEPEN02_HF","ACEPEN","HF","WS2","20","08","chill2",0,0,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"24","ACEPEN02_HF","ACEPEN","HF","WS1","20","08","chill1",0,0,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"37","ACEPEN04_HF","ACEPEN","HF","CL0","15","12","chill0",0,0,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"38","ACEPEN04_HF","ACEPEN","HF","CL1","15","12","chill1",3,0,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"39","ACEPEN04_HF","ACEPEN","HF","CL2","15","12","chill2",0,0,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"40","ACEPEN04_HF","ACEPEN","HF","CS0","15","08","chill0",0,0,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"41","ACEPEN04_HF","ACEPEN","HF","CS1","15","08","chill1",0,0,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"42","ACEPEN04_HF","ACEPEN","HF","CS2","15","08","chill2",0,0,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"43","ACEPEN04_HF","ACEPEN","HF","WL0","20","12","chill0",0,0,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"44","ACEPEN04_HF","ACEPEN","HF","WL1","20","12","chill1",0,0,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"45","ACEPEN04_HF","ACEPEN","HF","WL2","20","12","chill2",0,0,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"46","ACEPEN04_HF","ACEPEN","HF","WS0","20","08","chill0",0,0,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"47","ACEPEN04_HF","ACEPEN","HF","WS2","20","08","chill2",0,0,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"48","ACEPEN04_HF","ACEPEN","HF","WS1","20","08","chill1",0,0,0.75,2.1,561.0206312,37.3213636363636,2.2,18.0277744437103
"61","ACEPEN06_SH","ACEPEN","SH","CL0","15","12","chill0",0,0,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"62","ACEPEN06_SH","ACEPEN","SH","CL1","15","12","chill1",0,0,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"63","ACEPEN06_SH","ACEPEN","SH","CL2","15","12","chill2",0,0,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"64","ACEPEN06_SH","ACEPEN","SH","CS0","15","08","chill0",0,0,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"65","ACEPEN06_SH","ACEPEN","SH","CS1","15","08","chill1",0,0,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"66","ACEPEN06_SH","ACEPEN","SH","CS2","15","08","chill2",0,0,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"67","ACEPEN06_SH","ACEPEN","SH","WL0","20","12","chill0",0,0,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"68","ACEPEN06_SH","ACEPEN","SH","WL1","20","12","chill1",0,0,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"69","ACEPEN06_SH","ACEPEN","SH","WL2","20","12","chill2",0,0,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"70","ACEPEN06_SH","ACEPEN","SH","WS0","20","08","chill0",0,0,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"71","ACEPEN06_SH","ACEPEN","SH","WS2","20","08","chill2",0,0,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"72","ACEPEN06_SH","ACEPEN","SH","WS1","20","08","chill1",1,1,7.94,5.6,353.4641262,31.206091954023,2,26.7642290485155
"85","ACEPEN08_SH","ACEPEN","SH","CL0","15","12","chill0",0,0,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"86","ACEPEN08_SH","ACEPEN","SH","CL1","15","12","chill1",0,0,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"87","ACEPEN08_SH","ACEPEN","SH","CL2","15","12","chill2",0,0,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"88","ACEPEN08_SH","ACEPEN","SH","CS0","15","08","chill0",0,0,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"89","ACEPEN08_SH","ACEPEN","SH","CS1","15","08","chill1",0,0,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"90","ACEPEN08_SH","ACEPEN","SH","CS2","15","08","chill2",0,0,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"91","ACEPEN08_SH","ACEPEN","SH","WL0","20","12","chill0",0,0,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"92","ACEPEN08_SH","ACEPEN","SH","WL1","20","12","chill1",0,0,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
