"","id","sp","rep","site","ind","treatcode","warm","photo","chill","gen","lday","bday","ht","DBH","stom_d","sla","wood_den","cn"
"1","ACEPEN01_HF_01","ACEPEN","1","HF","ACEPEN01_HF","CL2","15","12","chill2","ACE",43,13,4,2,307.2255837,23.1773275862069,2.82051282051282,13.8554328188221
"2","ACEPEN01_HF_02","ACEPEN","1","HF","ACEPEN01_HF","CS1","15","08","chill1","ACE",52,15,4,2,307.2255837,23.1773275862069,2.82051282051282,13.8554328188221
"3","ACEPEN01_HF_03","ACEPEN","1","HF","ACEPEN01_HF","CL0","15","12","chill0","ACE",48,20,4,2,307.2255837,23.1773275862069,2.82051282051282,13.8554328188221
"4","ACEPEN01_HF_04","ACEPEN","1","HF","ACEPEN01_HF","WS2","20","08","chill2","ACE",41,24,4,2,307.2255837,23.1773275862069,2.82051282051282,13.8554328188221
"5","ACEPEN01_HF_05","ACEPEN","1","HF","ACEPEN01_HF","WS0","20","08","chill0","ACE",34,18,4,2,307.2255837,23.1773275862069,2.82051282051282,13.8554328188221
"6","ACEPEN01_HF_06","ACEPEN","1","HF","ACEPEN01_HF","CS2","15","08","chill2","ACE",NA,17,4,2,307.2255837,23.1773275862069,2.82051282051282,13.8554328188221
"7","ACEPEN01_HF_07","ACEPEN","1","HF","ACEPEN01_HF","WL2","20","12","chill2","ACE",27,14,4,2,307.2255837,23.1773275862069,2.82051282051282,13.8554328188221
"8","ACEPEN01_HF_08","ACEPEN","1","HF","ACEPEN01_HF","WL0","20","12","chill0","ACE",26,26,4,2,307.2255837,23.1773275862069,2.82051282051282,13.8554328188221
"9","ACEPEN01_HF_10","ACEPEN","1","HF","ACEPEN01_HF","CS0","15","08","chill0","ACE",68,33,4,2,307.2255837,23.1773275862069,2.82051282051282,13.8554328188221
"10","ACEPEN01_HF_11","ACEPEN","1","HF","ACEPEN01_HF","WL1","20","12","chill1","ACE",38,13,4,2,307.2255837,23.1773275862069,2.82051282051282,13.8554328188221
"11","ACEPEN01_HF_12","ACEPEN","1","HF","ACEPEN01_HF","CL1","15","12","chill1","ACE",37,13,4,2,307.2255837,23.1773275862069,2.82051282051282,13.8554328188221
"12","ACEPEN02_HF_01","ACEPEN","2","HF","ACEPEN02_HF","CS1","15","08","chill1","ACE",44,9,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"13","ACEPEN02_HF_02","ACEPEN","2","HF","ACEPEN02_HF","CL0","15","12","chill0","ACE",40,20,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"14","ACEPEN02_HF_03","ACEPEN","2","HF","ACEPEN02_HF","CS2","15","08","chill2","ACE",NA,13,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"15","ACEPEN02_HF_04","ACEPEN","2","HF","ACEPEN02_HF","CS0","15","08","chill0","ACE",68,21,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"16","ACEPEN02_HF_05","ACEPEN","2","HF","ACEPEN02_HF","WL0","20","12","chill0","ACE",NA,NA,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"17","ACEPEN02_HF_06","ACEPEN","2","HF","ACEPEN02_HF","WS0","20","08","chill0","ACE",40,27,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"18","ACEPEN02_HF_07","ACEPEN","2","HF","ACEPEN02_HF","CL2","15","12","chill2","ACE",37,13,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"19","ACEPEN02_HF_09","ACEPEN","2","HF","ACEPEN02_HF","WL2","20","12","chill2","ACE",NA,14,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"20","ACEPEN02_HF_10","ACEPEN","2","HF","ACEPEN02_HF","WS2","20","08","chill2","ACE",50,24,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"21","ACEPEN02_HF_11","ACEPEN","2","HF","ACEPEN02_HF","WL1","20","12","chill1","ACE",24,8,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"22","ACEPEN02_HF_12","ACEPEN","2","HF","ACEPEN02_HF","CL1","15","12","chill1","ACE",30,8,3,2,277.1709071,50.5075,2.32142857142857,14.6969557709412
"23","ACEPEN03_HF_01","ACEPEN","3","HF","ACEPEN03_HF","CS2","15","08","chill2","ACE",NA,13,0.96,2.3,166.9704259,52.5652941176471,1.8989898989899,17.3985392383174
"24","ACEPEN03_HF_02","ACEPEN","3","HF","ACEPEN03_HF","WL0","20","12","chill0","ACE",33,13,0.96,2.3,166.9704259,52.5652941176471,1.8989898989899,17.3985392383174
"25","ACEPEN03_HF_03","ACEPEN","3","HF","ACEPEN03_HF","WS2","20","08","chill2","ACE",31,13,0.96,2.3,166.9704259,52.5652941176471,1.8989898989899,17.3985392383174
"26","ACEPEN03_HF_04","ACEPEN","3","HF","ACEPEN03_HF","CL0","15","12","chill0","ACE",40,20,0.96,2.3,166.9704259,52.5652941176471,1.8989898989899,17.3985392383174
"27","ACEPEN03_HF_05","ACEPEN","3","HF","ACEPEN03_HF","CL1","15","12","chill1","ACE",30,8,0.96,2.3,166.9704259,52.5652941176471,1.8989898989899,17.3985392383174
"28","ACEPEN03_HF_06","ACEPEN","3","HF","ACEPEN03_HF","CS0","15","08","chill0","ACE",68,21,0.96,2.3,166.9704259,52.5652941176471,1.8989898989899,17.3985392383174
"29","ACEPEN03_HF_08","ACEPEN","3","HF","ACEPEN03_HF","WL1","20","12","chill1","ACE",24,3,0.96,2.3,166.9704259,52.5652941176471,1.8989898989899,17.3985392383174
"30","ACEPEN03_HF_09","ACEPEN","3","HF","ACEPEN03_HF","WL2","20","12","chill2","ACE",36,20,0.96,2.3,166.9704259,52.5652941176471,1.8989898989899,17.3985392383174
