"","ind","site","sp","Latitude","Longitude","Elevation","Leaf.area","Fresh.mass","Dry.mass","Stem.volume","Stem.mass","ht","DBH","DBH.2","DBH.3","DBH.4","DBH.5","per.N","per.C","Stomatal.Length","stom_d","lma","wood.den","cn"
"1","ACEPEN01_GR","GR","ACEPEN",44.92307399,-71.09050599,433,291.793,3.26,0.92,1.39,0.56,6,2.6,NA,NA,NA,NA,2.585346515,44.85988686,NA,NA,0.00315292004948714,2.48214285714286,17.3515954630167
"2","ACEPEN03_GR","GR","ACEPEN",44.88032201,-71.09937103,471,280.336,3.13,0.86,1.42,0.56,5,2.4,NA,NA,NA,NA,2.325918449,45.77135595,10.199,479.8232824,0.00306774727469893,2.53571428571429,19.6788309451171
"3","ACEPEN04_GR","GR","ACEPEN",44.87927604,-71.10118504,450,279.253,3.21,0.85,0.8,0.35,4,1,1.2,1.2,1.6,NA,1.398805663,33.29218704,NA,NA,0.00304383480213283,2.28571428571429,23.800437702403
"4","ACEPEN05_GR","GR","ACEPEN",44.87739396,-71.05677604,392,311.388,2.63,0.65,0.73,0.34,7,3.7,NA,NA,NA,NA,2.572024958,44.8465225,13.574,169.0480604,0.00208742790345164,2.14705882352941,17.4362703443098
"5","ACEPEN06_GR","GR","ACEPEN",44.89883403,-71.07445196,430,367.072,3.41,0.79,0.93,0.45,7,3.5,NA,NA,NA,NA,2.517741209,45.09945635,12.2784,160.5102795,0.00215216633249063,2.06666666666667,17.9126656023208
"6","ACEPEN07_GR","GR","ACEPEN",44.87522598,-71.05351799,392,179.038,2.27,0.62,1.18,0.49,5,2,NA,NA,NA,NA,2.083573353,44.54098929,12.975,322.7281152,0.00346295199901697,2.40816326530612,21.3772120025764
"7","ACEPEN08_GR","GR","ACEPEN",NA,NA,NA,NA,NA,NA,NA,NA,9.25,8.1,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ACEPEN09_GR","GR","ACEPEN",NA,NA,NA,NA,NA,NA,NA,NA,5,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ACEPEN10_GR","GR","ACEPEN",NA,NA,NA,NA,NA,NA,NA,NA,4.5,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ACEPEN11_GR","GR","ACEPEN",NA,NA,NA,NA,NA,NA,NA,NA,6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ACERUB01_GR","GR","ACERUB",44.92342897,-71.09039501,444,251.487,3.35,1.17,1.82,0.96,22,4.7,21.5,5.2,18.7,5.7,2.267650974,47.24363552,13.9844,391.0303618,0.00465232795333357,1.89583333333333,20.833733260399
"12","ACERUB02_GR","GR","ACERUB",44.92335303,-71.09061504,437,291.921,3.3,1.05,1.13,0.61,6,4.2,NA,NA,NA,NA,2.534112426,46.65880561,NA,NA,0.00359686353499748,1.85245901639344,18.4122871310998
"13","ACERUB03_GR","GR","ACERUB",44.92350499,-71.08970904,437,251.166,3.25,1.11,2.35,1.53,11,10.2,9.2,NA,NA,NA,1.932327915,39.89717348,14.9362,179.2933973,0.00441938797448699,1.5359477124183,20.6472064965226
"14","ACERUB04_GR","GR","ACERUB",44.92466404,-71.09516398,418,282.558,3.51,1.41,1.1,0.47,18,3.6,18.7,10.8,2.6,2.7,1.985864724,47.11777166,NA,NA,0.00499012592104984,2.34042553191489,23.7265766849887
"15","ACERUB05_GR","GR","ACERUB",44.92466697,-71.09543597,424,NA,3.46,1.48,1.05,0.53,8,5.1,NA,NA,NA,NA,1.601550775,40.1769574,14.5026,203.1991837,NA,1.9811320754717,25.0862838863164
"16","ACERUB06_GR","GR","ACERUB",44.88022101,-71.09837299,452,316.433,3.86,1.41,2.13,1.25,6,4.5,5.4,NA,NA,NA,2.334208812,47.57256492,13.572,252.7183124,0.00445591957855217,1.704,20.3805952044362
"17","ACERUB07_GR","GR","ACERUB",44.879816,-71.10000503,451,NA,NA,NA,NA,NA,18,5.5,15.2,16.6,21.9,NA,NA,NA,NA,NA,NA,NA,NA
"18","ACERUB08_GR","GR","ACERUB",44.87988297,-71.100216,438,NA,NA,NA,NA,NA,10,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ACERUB09_GR","GR","ACERUB",44.87975196,-71.10030997,448,NA,NA,NA,NA,NA,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ACERUB10_GR","GR","ACERUB",44.879558,-71.10054399,440,NA,NA,NA,NA,NA,12,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ACERUB11_GR","GR","ACERUB",44.87936002,-71.10070903,443,NA,NA,NA,NA,NA,20,14.5,20,28.1,13.1,NA,NA,NA,NA,NA,NA,NA,NA
"22","ACERUB12_GR","GR","ACERUB",44.87923396,-71.10111798,447,NA,NA,NA,NA,NA,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ACESAC01_HF","GR","ACESAC",44.92391403,-71.093097,420,NA,1.84,0.62,1.3,0.73,18,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78082191780822,NA
"24","ACESAC02_GR","GR","ACESAC",44.92378897,-71.09293196,415,271.656,2.33,0.75,0.99,0.51,2.5,2.6,NA,NA,NA,NA,2.776356529,45.63317166,10.5078,133.1893809,0.00276084459757929,1.94117647058824,16.4363514495872
"25","ACESAC03_GR","GR","ACESAC",44.87420297,-71.05360399,395,205.267,1.94,0.71,0.95,0.5,7,7.4,NA,NA,NA,NA,2.472850734,45.66568926,NA,NA,0.00345890961528156,1.9,18.4668199467635
"26","ACESAC04_GR","GR","ACESAC",44.92425299,-71.09446803,417,280.774,3.06,1.22,1.92,1.19,15,6.1,15.6,NA,NA,NA,2.066042252,46.20911883,NA,NA,0.00434513167173599,1.61344537815126,22.3660086260424
"27","ACESAC05_GR","GR","ACESAC",44.92472003,-71.09525199,421,268.699,3.22,1.34,1.48,1,21,25.1,NA,NA,NA,NA,1.822958928,46.15696121,9.8264,317.6054467,0.00498699288050942,1.48,25.3198031513741
"28","ACESAC06_GR","GR","ACESAC",44.92492002,-71.09614802,423,236.863,2.4,1.06,1.9,1.03,15,16.5,3.6,NA,NA,NA,1.769315337,47.03130092,9.1296,312.4827782,0.00447516074692966,1.84466019417476,26.5816386352842
"29","ACESAC07_GR","GR","ACESAC",44.92501399,-71.096763,426,253.221,2.65,1.05,1.24,0.67,6,5,NA,NA,NA,NA,1.597424754,47.56683736,NA,NA,0.0041465755209876,1.85074626865672,29.7772006104771
"30","ACESAC08_GR","GR","ACESAC",44.92545102,-71.09722601,428,230.736,2.17,0.79,1.58,0.84,11,7.7,NA,NA,NA,NA,1.721429051,46.14323382,NA,NA,0.0034238263643298,1.88095238095238,26.8051906020726
"31","ACESAC09_GR","GR","ACESAC",44.92535898,-71.09773002,432,234.12,2.58,0.94,2.14,1.29,7,6.6,NA,NA,NA,NA,2.155336027,46.76884263,NA,NA,0.00401503502477362,1.65891472868217,21.6990956603167
"32","ACESAC10_GR","GR","ACESAC",44.88008497,-71.098,454,NA,NA,NA,NA,NA,12,13.2,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ACESAC11_GR","GR","ACESAC",44.89817304,-71.07716703,421,237.973,3.48,1.29,1.52,0.76,13,10.6,NA,NA,NA,NA,1.920017623,48.49700187,NA,NA,0.00542078303000761,2,25.2586233006675
"34","ACESPI01_GR","GR","ACESPI",44.92510996,-71.09674498,425,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","ACESPI02_GR","GR","ACESPI",44.92519202,-71.09671103,427,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
