"sample","species","site","no","type","ht","dbh","dbh2","dbh3","count"
"af_acegla_1","acegla","af","1","tree",2.89,1.881,NA,NA,1
"af_acegla_3","acegla","af","3","tree",6.38,9.3,2,NA,1
"af_acegla_5","acegla","af","5","tree",6.77,3,3.4,3.2,1
"af_acegla_6","acegla","af","6","tree",8.19,4.2,8.2,3.2,1
"af_acegla_7","acegla","af","7","tree",7.14,5.1,6.9,9,1
"af_acegla_8","acegla","af","8","tree",6.77,6.5,7.5,5.9,1
"af_acegla_9","acegla","af","9","tree",7.22,4.5,6.5,7,1
"af_acegla_10","acegla","af","10","tree",4.9,2.7,4.2,4.3,1
"af_acegla_11","acegla","af","11","tree",4.67,2.411,NA,NA,1
"af_acegla_12","acegla","af","12","tree",3.36,1.632,NA,NA,1
"mp_acegla_2","acegla","mp","2","tree",2.68,1.126,NA,NA,1
"mp_acegla_3","acegla","mp","3","tree",6.39,3.3,3.4,2.1,1
"mp_acegla_4","acegla","mp","4","tree",3.36,1.959,1.595,1.44,1
"mp_acegla_5","acegla","mp","5","tree",4.8,6.2,3.5,3,1
"mp_acegla_7","acegla","mp","7","tree",6.38,4.482,7.672,7.287,1
"mp_acegla_8","acegla","mp","8","tree",6.38,3.5,NA,NA,1
"mp_acegla_9","acegla","mp","9","tree",4.8,3.3,NA,NA,1
"mp_acegla_10","acegla","mp","10","tree",6.38,4.7,3.7,NA,1
"mp_acegla_10_02","acegla","mp","10_02","tree",5.09,8.2,8.5,11.5,1
"mp_acegla_11","acegla","mp","11","tree",3.54,2.016,NA,NA,1
"sm_acegla_7","acegla","sm","7","tree",10.14,7.1,NA,NA,1
"sm_acegla_8","acegla","sm","8","tree",13.6,1.26,NA,NA,1
"mp_acegla_1","acegla","mp","1","tree",5.54,2.778,5.005,1.585,1
"sm_acegla_10","acegla","sm","10","tree",6.28,24,29.9,14.9,1
"sm_acegla_11","acegla","sm","11","tree",5.09,2.2,NA,NA,1
"kl_acegla_1","acegla","kl","1","tree",4.8,40.8,5.136,4.69,1
"kl_acegla_3","acegla","kl","3","tree",4.7,2.546,2.037,NA,1
"kl_acegla_4","acegla","kl","4","tree",5.09,13.1,NA,NA,1
"kl_acegla_5","acegla","kl","5","tree",10.7,9.6,6.9,NA,1
"kl_acegla_6","acegla","kl","6","tree",5.09,6.1,NA,NA,1
"kl_acegla_7","acegla","kl","7","tree",11.87,6.5,8.4,8.1,1
"kl_acegla_8","acegla","kl","8","tree",7.8,6.143,8.48,7.224,1
"kl_acegla_9","acegla","kl","9","tree",5.09,4.034,NA,NA,1
"kl_acegla_10","acegla","kl","10","tree",NA,10.6,NA,NA,1
"kl_acegla_11","acegla","kl","11","tree",8.62,5.3,3.4,2.2,1
"sm_acegla_9","acegla","sm","9","tree",8.41,5,NA,NA,1
"sm_acegla_14","acegla","sm","14","tree",7.14,0.65,NA,NA,1
"sm_acegla_15","acegla","sm","15","tree",12.06,9.9,NA,NA,1
"sm_acegla_3","acegla","sm","3","tree",5.09,16.1,9.7,12.6,1
"sm_acegla_13","acegla","sm","13","tree",9.03,13.6,10.6,4.5,1
"sm_acegla_2","acegla","sm","2","tree",8.62,0.524,NA,NA,1
"kl_betpap_8","betpap","kl","8","tree",11.28,15.5,NA,NA,1
"kl_betpap_9","betpap","kl","9","tree",13.52,17.1,14.9,9.9,1
"kl_betpap_7","betpap","kl","7","tree",13.48,11.9,NA,NA,1
"af_betpap_4","betpap","af","4","tree",10.42,18,NA,NA,1
"af_betpap_5","betpap","af","5","tree",13.6,18.5,NA,NA,1
"af_betpap_3","betpap","af","3","tree",11.73,10.5,NA,NA,1
"af_betpap_9","betpap","af","9","tree",10.14,12.9,NA,NA,1
"af_betpap_10","betpap","af","10","tree",7.48,9.9,NA,NA,1
"af_betpap_11","betpap","af","11","tree",15.76,33.1,NA,NA,1
"af_betpap_8","betpap","af","8","tree",11.73,12.6,NA,NA,1
"af_betpap_6","betpap","af","6","tree",11.73,10.6,NA,NA,1
"kl_betpap_10","betpap","kl","10","tree",12.06,13.3,NA,NA,1
"kl_betpap_11","betpap","kl","11","tree",11.28,8.2,NA,NA,1
"kl_betpap_12","betpap","kl","12","tree",7.8,10.4,NA,NA,1
"kl_betpap_13","betpap","kl","13","tree",18.83,30.3,NA,NA,1
"kl_betpap_14","betpap","kl","14","tree",14.33,23.3,18.6,NA,1
"sm_betpap_13","betpap","sm","13","tree",7.14,13.1,NA,NA,1
"af_betpap_7","betpap","af","7","tree",8.11,10,NA,NA,1
"kl_betpap_5","betpap","kl","5","tree",11.73,12.7,7.9,NA,1
"kl_betpap_6","betpap","kl","6","tree",10.48,9.8,NA,NA,1
"sm_betpap_1","betpap","sm","1","tree",11.23,19,NA,NA,1
"sm_betpap_2","betpap","sm","2","tree",12.66,8.6,NA,NA,1
"af_betpap_2","betpap","af","2","tree",9.42,9.9,NA,NA,1
"sm_betpap_5","betpap","sm","5","tree",11.73,12.7,NA,NA,1
"sm_betpap_6","betpap","sm","6","tree",11.12,12.9,NA,NA,1
"sm_betpap_7","betpap","sm","7","tree",9.48,27.3,NA,NA,1
"sm_betpap_8","betpap","sm","8","tree",12.43,30.1,NA,NA,1
"sm_betpap_9","betpap","sm","9","tree",12.43,21.3,NA,NA,1
"sm_betpap_10","betpap","sm","10","tree",12.79,21.9,NA,NA,1
"sm_betpap_4","betpap","sm","4","tree",11.68,16.9,NA,NA,1
"af_popbal_2","popbal","af","2","tree",20,34.6,NA,NA,1
"af_popbal_5","popbal","af","5","tree",7.48,5.96,NA,NA,1
"af_popbal_2_2","popbal","af","2_2","tree",14.9,14.2,NA,NA,1
"af_popbal_3","popbal","af","3","tree",7.14,10.8,NA,NA,1
"af_popbal_4","popbal","af","4","tree",9.03,5.742,NA,NA,1
"kl_popbal_6","popbal","kl","6","tree",17.13,18.5,17.5,21.5,1
"kl_popbal_7","popbal","kl","7","tree",17.13,25.8,NA,NA,1
"kl_popbal_8","popbal","kl","8","tree",15.08,20.5,NA,NA,1
"kl_popbal_5","popbal","kl","5","tree",17.35,23.2,NA,NA,1
"af_popbal_1","popbal","af","1","tree",5.09,6.3,6.5,6.2,1
"sm_popbal_20","popbal","sm","20","tree",19.37,28.2,NA,NA,1
"mp_popbal_9","popbal","mp","9","tree",16.68,46.6,NA,NA,1
"mp_popbal_10","popbal","mp","10","tree",18.45,37.8,NA,NA,1
"mp_popbal_11","popbal","mp","11","tree",17.97,39.4,NA,NA,1
"mp_popbal_12","popbal","mp","12","tree",19.81,52.9,NA,NA,1
"mp_popbal_13","popbal","mp","13","tree",34.57,91.9,NA,NA,1
"mp_popbal_14","popbal","mp","14","tree",32.61,54.9,NA,NA,1
"mp_popbal_15","popbal","mp","15","tree",22.46,22,NA,NA,1
"af_popbal_7","popbal","af","7","tree",4.8,4.175,1.496,NA,1
"af_popbal_8","popbal","af","8","tree",4.8,2.499,NA,NA,1
"af_popbal_9","popbal","af","9","tree",9.03,9.906,NA,NA,1
"mp_popbal_6","popbal","mp","6","tree",13.48,23.7,NA,NA,1
"mp_popbal_7","popbal","mp","7","tree",21.1,28.2,27.9,28.9,1
"mp_popbal_8","popbal","mp","8","tree",16.18,42.2,34.1,NA,1
"kl_popbal_11","popbal","kl","11","tree",15.34,20.1,NA,NA,1
"sm_popbal_1","popbal","sm","1","tree",3.18,2,NA,NA,1
"af_popbal_6","popbal","af","6","tree",7.22,4.672,NA,NA,1
"kl_popbal_4","popbal","kl","4","tree",19.14,32.6,NA,NA,1
"sm_popbal_3","popbal","sm","3","tree",19.37,37,NA,NA,1
"sm_popbal_5","popbal","sm","5","tree",27.17,88.9,NA,NA,1
"sm_popbal_9","popbal","sm","9","tree",23.41,53.4,NA,NA,1
"kl_popbal_9","popbal","kl","9","tree",6.38,7.2,NA,NA,1
"kl_popbal_10","popbal","kl","10","tree",15.62,24,23.5,12.5,1
"sm_popbal_12","popbal","sm","12","tree",13.1,25.5,24.4,23.3,1
"kl_popbal_1","popbal","kl","1","tree",10.48,14.7,NA,NA,1
"kl_popbal_3","popbal","kl","3","tree",17.57,19.5,NA,NA,1
"sm_popbal_10","popbal","sm","10","tree",15.87,15.9,NA,NA,1
"sm_popbal_11","popbal","sm","11","tree",14.17,12.8,23.3,NA,1
"sm_popbal_6","popbal","sm","6","tree",18.45,53.2,NA,NA,1
"sm_popbal_8","popbal","sm","8","tree",8.11,11.1,NA,NA,1
"af_poptre_12","poptre","af","12","tree",10.14,7.844,NA,NA,1
"mp_poptre_10","poptre","mp","10","tree",11.28,14,NA,NA,1
