"species","site","no","sample","lma"
"acegla","af","1","af_acegla_1",7.28213830182968
"acegla","af","10","af_acegla_10",2.7936830928501
"acegla","af","11","af_acegla_11",2.16516714229621
"acegla","af","12","af_acegla_12",2.62128706651124
"acegla","af","3","af_acegla_3",3.05069924332026
"acegla","af","5","af_acegla_5",4.65841118904609
"acegla","af","6","af_acegla_6",3.89753041074722
"acegla","af","7","af_acegla_7",4.76331738399533
"acegla","af","8","af_acegla_8",4.74954458636013
"acegla","af","9","af_acegla_9",5.07365211782813
"alninc","af","1","af_alninc_1",5.77769948815965
"alninc","af","10","af_alninc_10",4.65648221267053
"alninc","af","11","af_alninc_11",3.19889379512716
"alninc","af","12","af_alninc_12",5.31622279572511
"alninc","af","13","af_alninc_13",5.53822902367591
"alninc","af","20","af_alninc_20",4.33736155793309
"alninc","af","5","af_alninc_5",5.3397415626569
"alninc","af","6","af_alninc_6",5.7316871515243
"alninc","af","7","af_alninc_7",4.53223908887876
"alninc","af","9","af_alninc_9",9.89093492549346
"alnvir","af","1","af_alnvir_1",6.54236938716517
"alnvir","af","11","af_alnvir_11",7.53595350620644
"alnvir","af","12","af_alnvir_12",7.0859506458779
"alnvir","af","13","af_alnvir_13",6.85758916349888
"alnvir","af","14","af_alnvir_14",8.74986552613154
"alnvir","af","2","af_alnvir_2",7.34663945413812
"alnvir","af","20","af_alnvir_20",4.38748148456511
"alnvir","af","3","af_alnvir_3",8.14007549278301
"alnvir","af","4","af_alnvir_4",5.75137925548021
"alnvir","af","5","af_alnvir_5",6.53237155316528
"amealn","af","1","af_amealn_1",5.78646665262554
"amealn","af","10","af_amealn_10",2.73621135143452
"amealn","af","12","af_amealn_12",2.52042881340252
"amealn","af","2","af_amealn_2",5.95522212458488
"amealn","af","3","af_amealn_3",4.01205994454804
"amealn","af","5","af_amealn_5",7.07303182140177
"amealn","af","6","af_amealn_6",7.85519747950018
"amealn","af","7","af_amealn_7",7.30724095012788
"amealn","af","8","af_amealn_8",5.10026414938727
"amealn","af","9","af_amealn_9",3.53618383907844
"betpap","af","10","af_betpap_10",5.53488144760258
"betpap","af","11","af_betpap_11",4.50163963412704
"betpap","af","2","af_betpap_2",3.77383007159279
"betpap","af","3","af_betpap_3",3.63689163401079
"betpap","af","4","af_betpap_4",3.66062902446546
"betpap","af","5","af_betpap_5",3.81825173319896
"betpap","af","6","af_betpap_6",3.46454951202926
"betpap","af","7","af_betpap_7",5.13521354888521
"betpap","af","8","af_betpap_8",4.0448092913964
"betpap","af","9","af_betpap_9",5.14843722659317
"corsto","af","1","af_corsto_1",4.92840030844367
"corsto","af","10","af_corsto_10",5.09637661307628
"corsto","af","11","af_corsto_11",3.42863604475751
"corsto","af","3","af_corsto_3",3.35110984738287
"corsto","af","4","af_corsto_4",2.71589350299903
"corsto","af","5","af_corsto_5",6.29025756242116
"corsto","af","6","af_corsto_6",5.81715203271023
"corsto","af","7","af_corsto_7",4.36363301695427
"corsto","af","8","af_corsto_8",3.06935306871809
"corsto","af","9","af_corsto_9",3.40219939244122
"loninv","af","1","af_loninv_1",2.46708138333086
"loninv","af","11","af_loninv_11",3.07124021193184
"loninv","af","2","af_loninv_2",5.31642646432108
"loninv","af","3","af_loninv_3",4.1933609702761
"loninv","af","3_02","af_loninv_3_02",3.22669034394715
"loninv","af","4","af_loninv_4",5.86101548042073
"loninv","af","5","af_loninv_5",6.99786251199967
"loninv","af","6","af_loninv_6",5.13941086974714
"loninv","af","8","af_loninv_8",3.67219141180634
"loninv","af","9","af_loninv_9",5.25481283762687
"popbal","af","1","af_popbal_1",6.56594019051118
"popbal","af","2","af_popbal_2",5.52096911116026
"popbal","af","2_2","af_popbal_2_2",4.39150680171006
"popbal","af","3","af_popbal_3",5.84659400255984
"popbal","af","4","af_popbal_4",6.39335955915639
"popbal","af","5","af_popbal_5",6.45601235318648
"popbal","af","6","af_popbal_6",7.05948991037089
"popbal","af","7","af_popbal_7",6.24065368287623
"popbal","af","8","af_popbal_8",7.24212683177783
"popbal","af","9","af_popbal_9",7.00403714075589
"poptre","af","10","af_poptre_10",5.20224672496997
"poptre","af","10_02","af_poptre_10_02",NA
"poptre","af","11","af_poptre_11",NA
"poptre","af","12","af_poptre_12",7.79439228551694
"poptre","af","12_2","af_poptre_12_2",NA
"poptre","af","13","af_poptre_13",5.28799618003625
"poptre","af","15","af_poptre_15",5.30690255822902
"poptre","af","3","af_poptre_3",5.93237385323805
"poptre","af","4","af_poptre_4",7.16595582896956
"poptre","af","5","af_poptre_5",7.15434817804051
"poptre","af","6","af_poptre_6",7.72635951416424
"poptre","af","7","af_poptre_7",3.76152129706569
"poptre","af","8","af_poptre_8",2.97093503713376
"poptre","af","9","af_poptre_9",5.46879373617958
"riblac","af","1","af_riblac_1",3.96931377894589
"riblac","af","10","af_riblac_10",2.71401928743846
"riblac","af","11","af_riblac_11",2.47917363882923
"riblac","af","12","af_riblac_12",2.24516983109813
"riblac","af","2","af_riblac_2",4.17542423651521
"riblac","af","20","af_riblac_20",3.55032568937688
"riblac","af","4","af_riblac_4",3.35902668820046
"riblac","af","6","af_riblac_6",3.23074788571768
"riblac","af","7","af_riblac_7",7.09436172184656
"riblac","af","8","af_riblac_8",4.85395156242148
"rubpar","af","10","af_rubpar_10",2.69157194049144
"rubpar","af","11","af_rubpar_11",2.91393100955505
"rubpar","af","13","af_rubpar_13",2.8594333074372
"rubpar","af","14","af_rubpar_14",4.05352545404813
"rubpar","af","15","af_rubpar_15",2.83400295069852
"rubpar","af","16","af_rubpar_16",2.7087628106732
"rubpar","af","2","af_rubpar_2",3.47476099558203
"rubpar","af","3","af_rubpar_3",3.04804895370933
"rubpar","af","4","af_rubpar_4",3.96402989328944
"rubpar","af","5","af_rubpar_5",2.25170788132344
"rubpar","af","6","af_rubpar_6",2.41606202828869
"rubpar","af","7","af_rubpar_7",2.58462004644479
"samrac","af","1","af_samrac_1",4.8358139387117
"samrac","af","10","af_samrac_10",5.2323648317101
"samrac","af","12","af_samrac_12",3.71729734849236
"samrac","af","13","af_samrac_13",2.12281822111768
"samrac","af","3","af_samrac_3",3.65842890287141
"samrac","af","4","af_samrac_4",3.26483794854673
"samrac","af","5","af_samrac_5",2.86819733353938
"samrac","af","6","af_samrac_6",2.63843522915314
"samrac","af","7","af_samrac_7",2.92741949947183
"samrac","af","9","af_samrac_9",4.29635037573926
"shecan","af","1","af_shecan_1",33.4373177645117
"shecan","af","10","af_shecan_10",3.15265147266641
"shecan","af","2","af_shecan_2",4.23519810576421
"shecan","af","3","af_shecan_3",8.12595982500559
"shecan","af","4","af_shecan_4",7.61249021613318
"shecan","af","5","af_shecan_5",7.15452208256562
"shecan","af","6","af_shecan_6",10.56391686215
"shecan","af","7","af_shecan_7",6.62245929529916
"shecan","af","8","af_shecan_8",10.1953559542188
"shecan","af","9","af_shecan_9",4.61382471841328
"sorsco","af","10","af_sorsco_10",3.2880105064044
"sorsco","af","11","af_sorsco_11",NA
"sorsco","af","12","af_sorsco_12",NA
