"sample","species","site","no","vol","stem.weight","ssd"
"af_acegla_1","acegla","af","1",3.32,1337.4,402.831325301205
"kl_acegla_1","acegla","kl","1",2.99,1675.9,560.501672240803
"mp_acegla_1","acegla","mp","1",2.86,1560.8,545.734265734266
"af_acegla_10","acegla","af","10",3.01,1428,474.418604651163
"kl_acegla_10","acegla","kl","10",3.82,1603.5,419.764397905759
"mp_acegla_10","acegla","mp","10",3.13,1416.2,452.460063897764
"sm_acegla_10","acegla","sm","10",4.1,2287.5,557.926829268293
"mp_acegla_10_02","acegla","mp","10_02",2.89,1627.4,563.114186851211
"af_acegla_11","acegla","af","11",3.25,1694.4,521.353846153846
"kl_acegla_11","acegla","kl","11",2.47,1308.1,529.595141700405
"mp_acegla_11","acegla","mp","11",2.71,1378.1,508.523985239852
"sm_acegla_11","acegla","sm","11",4.93,2233.5,453.042596348884
"af_acegla_12","acegla","af","12",3.12,1497,479.807692307692
"sm_acegla_13","acegla","sm","13",3.84,1808.8,471.041666666667
"sm_acegla_14","acegla","sm","14",4.21,2267,538.479809976247
"sm_acegla_15","acegla","sm","15",3.81,1921,504.199475065617
"mp_acegla_2","acegla","mp","2",2.98,1350.7,453.255033557047
"sm_acegla_2","acegla","sm","2",2.56,2745.6,1072.5
"af_acegla_3","acegla","af","3",3.42,1820.6,532.33918128655
"kl_acegla_3","acegla","kl","3",2.34,1319.6,563.931623931624
"mp_acegla_3","acegla","mp","3",3.04,1597.2,525.394736842105
"sm_acegla_3","acegla","sm","3",3,1386.7,462.233333333333
"kl_acegla_4","acegla","kl","4",3.3,1867.4,565.878787878788
"mp_acegla_4","acegla","mp","4",4.11,1717.7,417.931873479319
"af_acegla_5","acegla","af","5",3.08,1613.7,523.928571428571
"kl_acegla_5","acegla","kl","5",3.26,1567.6,480.858895705521
"mp_acegla_5","acegla","mp","5",3.6,1783.8,495.5
"af_acegla_6","acegla","af","6",3.43,1598.5,466.03498542274
"kl_acegla_6","acegla","kl","6",2.7,1489.3,551.592592592592
"af_acegla_7","acegla","af","7",4.11,2018.4,491.094890510949
"kl_acegla_7","acegla","kl","7",3.41,2004.5,587.82991202346
"mp_acegla_7","acegla","mp","7",3.12,1601.4,513.269230769231
"sm_acegla_7","acegla","sm","7",4.34,1650.3,380.253456221198
"af_acegla_8","acegla","af","8",3.31,1558.8,470.936555891239
"kl_acegla_8","acegla","kl","8",3.15,1495.8,474.857142857143
"mp_acegla_8","acegla","mp","8",2.39,1308.2,547.364016736402
"sm_acegla_8","acegla","sm","8",2.37,1158.9,488.987341772152
"af_acegla_9","acegla","af","9",3.61,1741.6,482.437673130194
"kl_acegla_9","acegla","kl","9",3.04,1720.7,566.019736842105
"mp_acegla_9","acegla","mp","9",2.98,1466.7,492.181208053691
"sm_acegla_9","acegla","sm","9",2.83,4538.9,1603.85159010601
"af_alninc_1","alninc","af","1",4.67,1901.8,407.237687366167
"kl_alninc_1","alninc","kl","1",3.54,1663,469.774011299435
"mp_alninc_1","alninc","mp","1",2.75,996,362.181818181818
"sm_alninc_1","alninc","sm","1",5.33,2210.2,414.671669793621
"sm_alninc_1_June3","alninc","sm","1_June3",2.13,920.2,432.018779342723
"af_alninc_10","alninc","af","10",4.53,1851.3,408.675496688742
"mp_alninc_10","alninc","mp","10",3.54,1522.9,430.197740112994
"af_alninc_11","alninc","af","11",2.68,944.2,352.313432835821
"af_alninc_12","alninc","af","12",3.43,1338.1,390.116618075802
"af_alninc_13","alninc","af","13",2.7,117.2,43.4074074074074
"sm_alninc_19","alninc","sm","19",5.82,2529.8,434.6735395189
"kl_alninc_2","alninc","kl","2",3.12,1359.1,435.608974358974
"mp_alninc_2","alninc","mp","2",3.6,1373.3,381.472222222222
"sm_alninc_2","alninc","sm","2",4.94,2328.9,471.437246963563
"af_alninc_20","alninc","af","20",4.05,1690.6,417.432098765432
"sm_alninc_20","alninc","sm","20",5.46,2187,400.549450549451
"sm_alninc_21","alninc","sm","21",3.31,1506.7,455.196374622357
"kl_alninc_3","alninc","kl","3",3.14,1343.9,427.993630573248
"mp_alninc_3","alninc","mp","3",3.58,1452.7,405.782122905028
"sm_alninc_3","alninc","sm","3",5.5,2297.8,417.781818181818
"kl_alninc_4","alninc","kl","4",3.31,1391.1,420.271903323263
"mp_alninc_4","alninc","mp","4",3.72,1556.9,418.521505376344
"sm_alninc_4","alninc","sm","4",5.06,2387.2,471.778656126482
"af_alninc_5","alninc","af","5",2.79,1079.7,386.989247311828
"mp_alninc_5","alninc","mp","5",3.04,1250.4,411.315789473684
"sm_alninc_5","alninc","sm","5",5.68,1964.7,345.897887323944
"af_alninc_6","alninc","af","6",3.57,1831.74,513.09243697479
"mp_alninc_6","alninc","mp","6",3.28,1184.5,361.128048780488
"af_alninc_7","alninc","af","7",3.27,1427.25,436.467889908257
"mp_alninc_7","alninc","mp","7",3.37,1193,354.005934718101
"mp_alninc_8","alninc","mp","8",3.56,1444.2,405.674157303371
"sm_alninc_8","alninc","sm","8",2,771.2,385.6
"af_alninc_9","alninc","af","9",2.61,1326.7,508.314176245211
"mp_alninc_9","alninc","mp","9",3.8,1570.6,413.315789473684
"af_alnvir_1","alnvir","af","1",3.3,1411,427.575757575758
"mp_alnvir_1","alnvir","mp","1",3.71,1741.8,469.487870619946
"kl_alnvir_10","alnvir","kl","10",2.57,1393.4,542.178988326848
"mp_alnvir_10","alnvir","mp","10",3.4,NA,NA
"sm_alnvir_10","alnvir","sm","10",2.63,1245.1,473.422053231939
"af_alnvir_11","alnvir","af","11",2.99,1307.1,437.157190635451
"kl_alnvir_11","alnvir","kl","11",2.58,1369.3,530.736434108527
"af_alnvir_12","alnvir","af","12",3.42,1468.6,429.415204678363
"kl_alnvir_12","alnvir","kl","12",2.7,1308.1,484.481481481481
"af_alnvir_13","alnvir","af","13",2.25,920.9,409.288888888889
"af_alnvir_14","alnvir","af","14",2.98,1334.3,447.751677852349
"sm_alnvir_17","alnvir","sm","17",2.34,1154.5,493.376068376068
"sm_alnvir_18","alnvir","sm","18",2.8,1257.9,449.25
"sm_alnvir_19","alnvir","sm","19",2.35,1164.6,495.574468085106
"af_alnvir_2","alnvir","af","2",3.69,1483,401.89701897019
"kl_alnvir_2","alnvir","kl","2",2.98,1380,463.087248322148
