sample,site,species,no.x,vol,stem.weight,ssd,Weight..mg.,per.N,per.C,C.N,type,ht,dbh,dbh2,dbh3,no.y,lma
af_acegla_1,af,acegla,1,3.32,1337.4,402.8313253,3.61,2.3,45.5,20.2,tree,2.89,1.881,NA,NA,1,7.282138302
af_acegla_10,af,acegla,10,3.01,1428,474.4186047,4.25,3,46.3,15.7,tree,4.9,2.7,4.2,4.3,10,2.793683093
af_acegla_11,af,acegla,11,3.25,1694.4,521.3538462,3.8,2.4,44.6,18.8,tree,4.67,2.411,NA,NA,11,2.165167142
af_acegla_12,af,acegla,12,3.12,1497,479.8076923,3.5,2.4,46.6,19.2,tree,3.36,1.632,NA,NA,12,2.621287067
af_acegla_3,af,acegla,3,3.42,1820.6,532.3391813,4.61,3.5,45.9,13.3,tree,6.38,9.3,2,NA,3,3.050699243
af_acegla_5,af,acegla,5,3.08,1613.7,523.9285714,3.69,2.7,46.7,17.2,tree,6.77,3,3.4,3.2,5,4.658411189
af_acegla_6,af,acegla,6,3.43,1598.5,466.0349854,4.19,2.8,46.8,16.9,tree,8.19,4.2,8.2,3.2,6,3.897530411
af_acegla_7,af,acegla,7,4.11,2018.4,491.0948905,4.47,2.4,46.3,19.4,tree,7.14,5.1,6.9,9,7,4.763317384
af_acegla_8,af,acegla,8,3.31,1558.8,470.9365559,4.77,2,45.5,22.8,tree,6.77,6.5,7.5,5.9,8,4.749544586
af_acegla_9,af,acegla,9,3.61,1741.6,482.4376731,4.81,2.9,46.3,16.3,tree,7.22,4.5,6.5,7,9,5.073652118
af_alninc_1,af,alninc,1,4.67,1901.8,407.2376874,4.37,3.2,48.9,15.3,shrub,2.84,2.1,NA,NA,1,5.777699488
af_alninc_1,af,alninc,1,4.67,1901.8,407.2376874,4.37,3.2,48.9,15.3,shrub,2.33,0.816,1.525,NA,1,5.777699488
af_alninc_10,af,alninc,10,4.53,1851.3,408.6754967,3.98,3.1,48.2,15.5,shrub,5.84,3.4,3.5,4.2,10,4.656482213
af_alninc_11,af,alninc,11,2.68,944.2,352.3134328,4.7,3.4,48.9,14.2,NA,NA,NA,NA,NA,11,3.198893795
af_alninc_12,af,alninc,12,3.43,1338.1,390.1166181,4.09,3,52,17.1,shrub,6.68,4.644,3.848,3.295,12,5.316222796
af_alninc_13,af,alninc,13,2.7,117.2,43.40740741,3.91,3.2,48.4,15.2,shrub,6.38,3.385,5.925,3.35,13,5.538229024
af_alninc_14,af,alninc,14,NA,NA,NA,NA,NA,NA,NA,shrub,3.19,1.947,1.721,NA,NA,NA
af_alninc_20,af,alninc,20,4.05,1690.6,417.4320988,4.44,3.4,49,14.4,shrub,4.65,4.1,3.3,2.8,20,4.337361558
