,site,species,no,date,dist.top,dist.btm,ht.cm,dbh,dbh2,dbh3,stem.vol,stem.weight
593,af,acegla,1,03-Jul,NA,NA,289.4,1.881,NA,NA,NA,1337.4
166,af,acegla,3,11-Jun,7,5,NA,9.3,2,NA,3.42,1820.6
241,af,acegla,5,13-Jun,8,6,NA,3,3.4,3.2,3.08,1613.7
242,af,acegla,6,13-Jun,9,6,NA,4.2,8.2,3.2,3.43,1598.5
243,af,acegla,7,13-Jun,9,7,NA,5.1,6.9,9,4.11,2018.4
244,af,acegla,8,13-Jun,8,6,NA,6.5,7.5,5.9,3.31,1558.8
245,af,acegla,9,13-Jun,7,4,NA,4.5,6.5,7,3.61,1741.6
246,af,acegla,10,13-Jun,NA,NA,489.6,2.7,4.2,4.3,3.01,1428
521,af,acegla,11,02-Jul,NA,NA,466.6,2.411,NA,NA,3.25,1694.4
522,af,acegla,12,02-Jul,NA,NA,335.9,1.632,NA,NA,3.12,1497
167,af,alninc,1,02-Jul,NA,NA,233.4,0.816,1.525,NA,NA,1901.8
168,af,alninc,1,11-Jun,NA,NA,284.5,2.1,NA,NA,4.67,1901.8
523,af,alninc,5,02-Jul,5,3,NA,2.655,4.354,NA,2.79,1079.7
988,af,alninc,6,03-Jul,8,6,NA,7.8,8.9,7.2,NA,NA
986,af,alninc,7,03-Jul,8,7,NA,4.2,5.5,4.3,NA,NA
169,af,alninc,9,11-Jun,6,5,NA,4.7,NA,NA,2.61,1326.7
170,af,alninc,10,11-Jun,10,9,NA,3.4,3.5,4.2,4.53,1851.3
992,af,alninc,11,NA,NA,NA,NA,NA,NA,NA,NA,944.2
620,af,alninc,12,04-Jul,6,3,NA,4.644,3.848,3.295,NA,1338.1
621,af,alninc,13,04-Jul,7,5,NA,3.385,5.925,3.35,NA,117.2
976,af,alninc,14,04-Jul,NA,NA,319.2,1.947,1.721,NA,NA,NA
212,af,alninc,20,12-Jun,NA,NA,465.3,4.1,3.3,2.8,4.05,1690.6
524,af,alnvir,1,02-Jul,NA,NA,233.4,0.816,1.525,NA,3.3,1411
525,af,alnvir,2,02-Jul,NA,NA,311,1.509,1.382,1.231,3.69,1483
526,af,alnvir,3,02-Jul,NA,NA,338.5,1.692,2.055,1.509,2.97,1220.4
527,af,alnvir,4,02-Jul,NA,NA,333.4,1.317,1.24,1.42,3.05,1440.8
528,af,alnvir,5,02-Jul,NA,NA,217.6,1.294,0.915,0.888,3.01,1262.5
529,af,alnvir,11,02-Jul,NA,NA,348.6,1.924,1.328,0.865,2.99,1307.1
530,af,alnvir,12,02-Jul,NA,NA,339.6,1.409,1.232,1.17,3.42,1468.6
622,af,alnvir,13,04-Jul,NA,NA,276.5,1.928,1.953,3.163,NA,920.9
623,af,alnvir,14,04-Jul,NA,NA,396.4,2.588,1.821,1.764,NA,1334.3
213,af,alnvir,20,12-Jun,NA,NA,439.2,4,5.2,4.5,3.3,1449.2
171,af,amealn,1,11-Jun,NA,NA,180.7,1.588,1.312,1.13,2.34,1292.3
172,af,amealn,2,11-Jun,NA,NA,157.7,1.183,NA,NA,5.06,2589.1
173,af,amealn,3,11-Jun,NA,NA,234.2,1.986,NA,NA,2.38,1294.7
174,af,amealn,5,11-Jun,NA,NA,210.4,2.357,NA,NA,3.23,1872.7
531,af,amealn,6,02-Jul,NA,NA,274.7,1.536,NA,NA,2.73,1403
532,af,amealn,7,02-Jul,NA,NA,243.4,1.432,1.036,NA,4.13,2130
533,af,amealn,8,02-Jul,NA,NA,204.6,1.238,1.387,1.034,3.39,1819.9
534,af,amealn,9,02-Jul,NA,NA,182.1,1.293,NA,NA,1.78,1150.3
535,af,amealn,10,02-Jul,NA,NA,198,1.095,NA,NA,2.65,1717.1
536,af,amealn,12,02-Jul,NA,NA,364.2,1.002,NA,NA,3.61,2222.8
175,af,betpap,1,11-Jun,19,14,NA,36.9,NA,NA,3.86,1729.2
1019,af,betpap,2,NA,NA,NA,NA,NA,NA,NA,NA,2764.6
