date,site,species,no,stem.wt,dist.top,dist.btm,ht,dbh,dbh2,dbh3
03-Jul,afrf,acegla,1,,,,289.4,1.881,,
11-Jun,afrf,acegla,3,,7,5,,9.3,2,
13-Jun,afrf,acegla,5,,8,6,,3,3.4,3.2
13-Jun,afrf,acegla,6,,9,6,,4.2,8.2,3.2
13-Jun,afrf,acegla,7,,9,7,,5.1,6.9,9
13-Jun,afrf,acegla,8,,8,6,,6.5,7.5,5.9
13-Jun,afrf,acegla,9,,7,4,,4.5,6.5,7
13-Jun,afrf,acegla,10,,,,489.6,2.7,4.2,4.3
02-Jul,afrf,acegla,11,,,,466.6,2.411,,
02-Jul,afrf,acegla,12,,,,335.9,1.632,,
11-Jun,afrf,alninc,1,,,,284.5,2.1,,
02-Jul,afrf,alninc,1,,,,233.4,0.816,1.525,
02-Jul,afrf,alninc,5,,5,3,,2.655,4.354,
03-Jul,afrf,alninc,6,,8,6,,7.8,8.9,7.2
03-Jul,afrf,alninc,7,,8,7,,4.2,5.5,4.3
11-Jun,afrf,alninc,9,,6,5,,4.7,,
11-Jun,afrf,alninc,10,,10,9,,3.4,3.5,4.2
04-Jul,afrf,alninc,12,,6,3,,4.644,3.848,3.295
04-Jul,afrf,alninc,13,,7,5,,3.385,5.925,3.35
04-Jul,afrf,alninc,14,,,,319.2,1.947,1.721,
12-Jun,afrf,alninc,20,,,,465.3,4.1,3.3,2.8
02-Jul,afrf,alnvir,1,,,,233.4,0.816,1.525,
02-Jul,afrf,alnvir,2,,,,311,1.509,1.382,1.231
02-Jul,afrf,alnvir,3,,,,338.5,1.692,2.055,1.509
02-Jul,afrf,alnvir,4,,,,333.4,1.317,1.24,1.42
02-Jul,afrf,alnvir,5,,,,217.6,1.294,0.915,0.888
02-Jul,afrf,alnvir,11,,,,348.6,1.924,1.328,0.865
02-Jul,afrf,alnvir,12,,,,339.6,1.409,1.232,1.17
04-Jul,afrf,alnvir,13,,,,276.5,1.928,1.953,3.163
04-Jul,afrf,alnvir,14,,,,396.4,2.588,1.821,1.764
12-Jun,afrf,alnvir,20,,,,439.2,4,5.2,4.5
11-Jun,afrf,amealn,1,,,,180.7,1.588,1.312,1.13
