,site,species,indiv.no,leaf.no,collected.by,leaf.area,leaf.mass
3763,af,acegla,1,1,NA,28.354,201.5
3764,af,acegla,1,2,NA,52.076,375
3765,af,acegla,1,3,NA,67.141,535.2
3766,af,acegla,1,4,NA,33.885,251.4
3767,af,acegla,1,5,NA,33.817,227
1,af,acegla,3,1,PA,82.192,287.9
2,af,acegla,3,2,PA,61.081,197
3,af,acegla,3,3,PA,18.769,40.9
4,af,acegla,3,4,PA,46.816,132.4
5,af,acegla,3,5,PA,114.232,401.9
6,af,acegla,5,1,PA,70.134,310.8
7,af,acegla,5,2,PA,62.647,341.2
8,af,acegla,5,3,PA,87.732,489.3
9,af,acegla,5,4,PA,59.487,188.7
10,af,acegla,5,5,PA,98.289,458.5
26,af,acegla,6,1,PA,75.612,319.8
27,af,acegla,6,2,PA,55.313,180.4
28,af,acegla,6,3,PA,48.783,159.2
29,af,acegla,6,4,PA,81.172,288.7
30,af,acegla,6,5,PA,72.885,377.3
11,af,acegla,7,1,PA,61.073,270
12,af,acegla,7,2,PA,57.688,268.5
13,af,acegla,7,3,PA,76.011,371.5
14,af,acegla,7,4,PA,72.851,336.4
15,af,acegla,7,5,PA,88.461,463.2
16,af,acegla,8,1,PA,110.368,598
17,af,acegla,8,2,PA,47.865,201.5
18,af,acegla,8,3,PA,76.718,303.5
19,af,acegla,8,4,PA,95.996,372.2
20,af,acegla,8,5,PA,70.326,442.1
31,af,acegla,9,1,PA,96.062,476.9
32,af,acegla,9,2,PA,50.139,250.9
33,af,acegla,9,3,PA,79.348,399.8
34,af,acegla,9,4,PA,60.683,318.1
35,af,acegla,9,5,PA,87.398,447.4
21,af,acegla,10,1,PA,52.74,134.9
22,af,acegla,10,2,PA,38.14,116.2
23,af,acegla,10,3,PA,48.65,129
24,af,acegla,10,4,PA,47.212,137.3
25,af,acegla,10,5,PA,61.694,173
3803,af,acegla,11,1,NA,44.053,109.5
3804,af,acegla,11,2,NA,22.959,47.4
3805,af,acegla,11,3,NA,24.826,49.5
3806,af,acegla,11,4,NA,45.448,97
3807,af,acegla,11,5,NA,40.513,87
3808,af,acegla,12,1,NA,20.569,54.4
3809,af,acegla,12,2,NA,28.219,63
3810,af,acegla,12,3,NA,30.405,67.5
3811,af,acegla,12,4,NA,33.455,96.5
3812,af,acegla,12,5,NA,17.314,54.1
3813,af,alninc,1,1,NA,52.702,312.1
3814,af,alninc,1,2,NA,36.942,203.7
3815,af,alninc,1,3,NA,42.505,194.9
3816,af,alninc,1,4,NA,33.547,242.1
3817,af,alninc,1,5,NA,40.422,228.4
3818,af,alninc,5,1,NA,22.622,120.6
3819,af,alninc,5,2,NA,25.217,127.5
3820,af,alninc,5,3,NA,20.892,108
3821,af,alninc,5,4,NA,16.674,100.2
3822,af,alninc,5,5,NA,21.665,111.2
3823,af,alninc,6,1,NA,19.402,107.2
3824,af,alninc,6,2,NA,12.828,63.8
3825,af,alninc,6,3,NA,18.01,105.7
3826,af,alninc,6,4,NA,24.907,151.9
3827,af,alninc,6,5,NA,18.023,111.6
3828,af,alninc,7,1,NA,22.727,94
3829,af,alninc,7,2,NA,18.176,101.4
3830,af,alninc,7,3,NA,28.052,111.5
3831,af,alninc,7,4,NA,14.63,63.1
3832,af,alninc,7,5,NA,9.767,45.5
41,af,alninc,9,1,PA,35.916,241.5
42,af,alninc,9,2,PA,22.995,363.8
43,af,alninc,9,3,PA,14.699,189.1
44,af,alninc,9,4,PA,30.818,198.7
45,af,alninc,9,5,PA,27.983,212.6
46,af,alninc,10,1,PA,32.94,172.7
47,af,alninc,10,2,PA,27.421,116.9
48,af,alninc,10,3,PA,32.085,130.9
49,af,alninc,10,4,PA,39.571,179.5
50,af,alninc,10,5,PA,43.814,226.1
51,af,alninc,11,1,PA,32.032,164
52,af,alninc,11,2,PA,61.599,116.1
53,af,alninc,11,3,PA,28.215,132.8
54,af,alninc,11,4,PA,34.641,99.6
55,af,alninc,11,5,PA,30.471,42.9
3848,af,alninc,12,1,NA,25.405,121.8
3849,af,alninc,12,2,NA,26.332,166.3
3850,af,alninc,12,3,NA,29.711,164.6
3851,af,alninc,12,4,NA,21.43,103.5
3852,af,alninc,12,5,NA,23.287,118.8
3853,af,alninc,13,1,NA,25.405,187.1
3854,af,alninc,13,2,NA,26.332,133.1
3855,af,alninc,13,3,NA,29.711,116.7
3856,af,alninc,13,4,NA,21.43,155.4
3857,af,alninc,13,5,NA,23.287,95.3
56,af,alninc,20,1,PA,26.052,126.2
57,af,alninc,20,2,PA,42.513,178.7
58,af,alninc,20,3,PA,26.134,104.8
59,af,alninc,20,4,PA,45.103,165.8
60,af,alninc,20,5,PA,38.804,192.2
61,af,alnvir,1,1,PA,20.982,214.8
64,af,alnvir,1,2,PA,35.42,130.2
65,af,alnvir,1,3,PA,29.062,187.5
68,af,alnvir,1,4,PA,23.076,137.5
69,af,alnvir,1,5,PA,24.717,157.9
71,af,alnvir,2,1,my,15.384,117.9
72,af,alnvir,2,2,my,15.134,108.5
73,af,alnvir,2,3,my,15.28,109.4
74,af,alnvir,2,4,my,12.487,99.1
75,af,alnvir,2,5,my,15.564,105.9
3873,af,alnvir,3,1,NA,18.564,157.3
3874,af,alnvir,3,2,NA,14.881,116.2
3875,af,alnvir,3,3,NA,17.607,149.6
3876,af,alnvir,3,4,NA,22.566,180.9
3877,af,alnvir,3,5,NA,24.49,193.6
76,af,alnvir,4,1,my,40.577,255.4
77,af,alnvir,4,2,my,37.867,245.3
78,af,alnvir,4,3,my,80.717,276.1
79,af,alnvir,4,4,my,42.244,271.6
80,af,alnvir,4,5,my,24.858,152.5
81,af,alnvir,5,1,my,21.957,145.6
82,af,alnvir,5,2,my,16.36,104.7
83,af,alnvir,5,3,my,18.176,144.4
84,af,alnvir,5,4,my,22.255,112.1
85,af,alnvir,5,5,my,14.242,94.7
3893,af,alnvir,11,1,NA,17.873,143.2
3894,af,alnvir,11,2,NA,14.558,109.2
3895,af,alnvir,11,3,NA,10.44,77.1
3896,af,alnvir,11,4,NA,15.261,118.9
3897,af,alnvir,11,5,NA,12.517,87.5
3898,af,alnvir,12,1,NA,23.459,159.8
3778,af,alnvir,12,2,NA,27.187,194.2
3779,af,alnvir,12,3,NA,18.786,142.8
3901,af,alnvir,12,4,NA,24.902,167
3902,af,alnvir,12,5,NA,28.338,203.1
86,af,alnvir,13,1,my,19.515,144.4
87,af,alnvir,13,2,my,24.08,146.4
88,af,alnvir,13,3,my,25.086,177.8
89,af,alnvir,13,4,my,21.289,157.3
90,af,alnvir,13,5,my,20.64,130.7
91,af,alnvir,14,1,my,31.536,256.2
92,af,alnvir,14,2,my,21.093,300.3
93,af,alnvir,14,3,my,39.851,163.3
94,af,alnvir,14,4,my,42.588,177.8
95,af,alnvir,14,5,my,24.81,325.4
36,af,alnvir,20,1,PA,57.236,240.5
37,af,alnvir,20,2,PA,48.203,241.2
38,af,alnvir,20,3,PA,29.552,127.7
39,af,alnvir,20,4,PA,35.566,152.7
40,af,alnvir,20,5,PA,39.13,161.1
96,af,amealn,1,1,PA,12.663,87.6
97,af,amealn,1,2,PA,17.779,87.8
98,af,amealn,1,3,PA,11.632,74.1
99,af,amealn,1,4,PA,8.043,44.6
100,af,amealn,1,5,PA,16.316,84.2
3923,af,amealn,2,1,NA,9.344,46.6
3924,af,amealn,2,2,NA,10.708,65.1
3925,af,amealn,2,3,NA,17.283,106.2
3926,af,amealn,2,4,NA,16.315,104.4
3927,af,amealn,2,5,NA,11.256,69.4
101,af,amealn,3,1,PA,16.944,76
102,af,amealn,3,2,PA,29.4,107
103,af,amealn,3,3,PA,11.811,39.7
104,af,amealn,3,4,PA,18.089,83.2
105,af,amealn,3,5,PA,22.316,88.7
106,af,amealn,5,1,PA,12.224,79.6
108,af,amealn,5,2,PA,22.597,91
109,af,amealn,5,3,PA,21.183,68.7
110,af,amealn,5,4,PA,10.903,129.8
111,af,amealn,5,5,PA,13.267,128.4
3939,af,amealn,6,1,NA,11.226,79.4
3940,af,amealn,6,2,NA,13.135,109
3941,af,amealn,6,3,NA,12.749,91.2
3942,af,amealn,6,4,NA,13.42,114.9
3943,af,amealn,6,5,NA,9.317,76.3
3944,af,amealn,7,1,NA,14.769,102.2
3945,af,amealn,7,2,NA,17.331,140.6
3946,af,amealn,7,3,NA,17.076,124.4
3947,af,amealn,7,4,NA,13.993,112.5
3948,af,amealn,7,5,NA,11.685,72.2
3949,af,amealn,8,1,NA,14.814,79.1
3950,af,amealn,8,2,NA,21.289,114.4
3951,af,amealn,8,3,NA,16.719,79.8
3952,af,amealn,8,4,NA,18.809,93.9
3953,af,amealn,8,5,NA,18.416,92.5
3954,af,amealn,9,1,NA,20.648,72
3955,af,amealn,9,2,NA,9.452,31.2
3956,af,amealn,9,3,NA,11.971,44.1
3957,af,amealn,9,4,NA,8.45,30
3958,af,amealn,9,5,NA,22.193,81.2
112,af,amealn,10,1,my,20.73,56.4
113,af,amealn,10,2,my,21.086,54.8
114,af,amealn,10,3,my,17.133,48.3
115,af,amealn,10,4,my,16.225,43.5
116,af,amealn,10,5,my,22.612,64.7
3964,af,amealn,12,1,NA,15.574,40.7
3965,af,amealn,12,2,NA,15.222,36.8
3966,af,amealn,12,3,NA,16.553,42.9
3967,af,amealn,12,4,NA,16.169,41.3
3968,af,amealn,12,5,NA,9.607,23.3
3974,af,betpap,2,1,NA,27.471,98.6
3975,af,betpap,2,2,NA,39.306,140.8
3976,af,betpap,2,3,NA,29.889,114.4
3977,af,betpap,2,4,NA,27.816,106.6
3978,af,betpap,2,5,NA,32.368,130.7
117,af,betpap,3,1,PA,45.336,176.3
118,af,betpap,3,2,PA,31.013,91.3
119,af,betpap,3,3,PA,45.305,194.9
120,af,betpap,3,4,PA,34.24,116.8
121,af,betpap,3,5,PA,37.047,134.8
122,af,betpap,4,1,PA,32.312,116.7
123,af,betpap,4,2,PA,32.701,118.4
124,af,betpap,4,3,PA,24.517,94.9
125,af,betpap,4,4,PA,25.183,90.4
126,af,betpap,4,5,PA,25.455,91.9
127,af,betpap,5,1,PA,29.233,113.3
130,af,betpap,5,2,PA,52.675,202.1
131,af,betpap,5,3,PA,34.413,113.1
134,af,betpap,5,4,PA,42.789,173
135,af,betpap,5,5,PA,47.961,194.2
137,af,betpap,6,1,PA,31.67,115.4
138,af,betpap,6,2,PA,29.89,100.5
139,af,betpap,6,3,PA,22.521,70.9
140,af,betpap,6,4,PA,23.531,86.6
141,af,betpap,6,5,PA,28.439,99.2
