site,species,indiv.no,leaf.no,collected.by,leaf.area,leaf.mass
af,acegla,1,1,NA,28.354,201.5
af,acegla,1,2,NA,52.076,375
af,acegla,1,3,NA,67.141,535.2
af,acegla,1,4,NA,33.885,251.4
af,acegla,1,5,NA,33.817,227
af,acegla,3,1,PA,82.192,287.9
af,acegla,3,2,PA,61.081,197
af,acegla,3,3,PA,18.769,40.9
af,acegla,3,4,PA,46.816,132.4
af,acegla,3,5,PA,114.232,401.9
af,acegla,5,1,PA,70.134,310.8
af,acegla,5,2,PA,62.647,341.2
af,acegla,5,3,PA,87.732,489.3
af,acegla,5,4,PA,59.487,188.7
af,acegla,5,5,PA,98.289,458.5
af,acegla,6,1,PA,75.612,319.8
af,acegla,6,2,PA,55.313,180.4
af,acegla,6,3,PA,48.783,159.2
af,acegla,6,4,PA,81.172,288.7
af,acegla,6,5,PA,72.885,377.3
af,acegla,7,1,PA,61.073,270
af,acegla,7,2,PA,57.688,268.5
af,acegla,7,3,PA,76.011,371.5
af,acegla,7,4,PA,72.851,336.4
af,acegla,7,5,PA,88.461,463.2
af,acegla,8,1,PA,110.368,598
af,acegla,8,2,PA,47.865,201.5
af,acegla,8,3,PA,76.718,303.5
af,acegla,8,4,PA,95.996,372.2
af,acegla,8,5,PA,70.326,442.1
af,acegla,9,1,PA,96.062,476.9
af,acegla,9,2,PA,50.139,250.9
af,acegla,9,3,PA,79.348,399.8
af,acegla,9,4,PA,60.683,318.1
af,acegla,9,5,PA,87.398,447.4
af,acegla,10,1,PA,52.74,134.9
af,acegla,10,2,PA,38.14,116.2
af,acegla,10,3,PA,48.65,129
af,acegla,10,4,PA,47.212,137.3
af,acegla,10,5,PA,61.694,173
af,acegla,11,1,NA,44.053,109.5
af,acegla,11,2,NA,22.959,47.4
af,acegla,11,3,NA,24.826,49.5
af,acegla,11,4,NA,45.448,97
af,acegla,11,5,NA,40.513,87
af,acegla,12,1,NA,20.569,54.4
af,acegla,12,2,NA,28.219,63
af,acegla,12,3,NA,30.405,67.5
af,acegla,12,4,NA,33.455,96.5
af,acegla,12,5,NA,17.314,54.1
af,alninc,1,1,NA,52.702,312.1
af,alninc,1,2,NA,36.942,203.7
af,alninc,1,3,NA,42.505,194.9
af,alninc,1,4,NA,33.547,242.1
af,alninc,1,5,NA,40.422,228.4
af,alninc,5,1,NA,22.622,120.6
af,alninc,5,2,NA,25.217,127.5
af,alninc,5,3,NA,20.892,108
af,alninc,5,4,NA,16.674,100.2
af,alninc,5,5,NA,21.665,111.2
af,alninc,6,1,NA,19.402,107.2
af,alninc,6,2,NA,12.828,63.8
af,alninc,6,3,NA,18.01,105.7
af,alninc,6,4,NA,24.907,151.9
af,alninc,6,5,NA,18.023,111.6
af,alninc,7,1,NA,22.727,94
af,alninc,7,2,NA,18.176,101.4
af,alninc,7,3,NA,28.052,111.5
af,alninc,7,4,NA,14.63,63.1
