site ,species,no,stem.weight
af,acegla,1,1337.4
af,acegla,3,1820.6
af,acegla,5,1613.7
af,acegla,6,1598.5
af,acegla,7,2018.4
af,acegla,8,1558.8
af,acegla,9,1741.6
af,acegla,10,1428
af,acegla,11,1694.4
af,acegla,12,1497
af,alninc,1,1901.8
af,alninc,5,1079.7
af,alninc,6,1831.74
af,alninc,7,1427.25
af,alninc,9,1326.7
af,alninc,10,1851.3
af,alninc,11,944.2
af,alninc,12,1338.1
af,alninc,13,117.2
af,alninc,20,1690.6
af,alnvir,1,1411
af,alnvir,2,1483
af,alnvir,3,1220.4
af,alnvir,4,1440.8
af,alnvir,5,1262.5
af,alnvir,11,1307.1
af,alnvir,12,1468.6
af,alnvir,13,920.9
af,alnvir,14,1334.3
af,alnvir,20,1449.2
af,amealn,1,1292.3
af,amealn,2,2589.1
af,amealn,3,1294.7
af,amealn,5,1872.7
af,amealn,6,1403
af,amealn,7,2130
af,amealn,8,1819.9
af,amealn,9,1150.3
af,amealn,10,1717.1
af,amealn,12,2222.8
af,betpap,1,1729.2
af,betpap,3,1912.9
af,betpap,4,1917.1
af,betpap,5,1831.8
af,betpap,6,1872.5
af,betpap,7,1818.7
af,betpap,8,1599
af,betpap,9,2356.7
af,betpap,10,2230.5
af,betpap,11,1611
af,betpap,2,2764.6
af,corsto,1,902.4
af,corsto,3,1606.9
af,corsto,4,1011.3
af,corsto,5,1152
af,corsto,6,1486.5
af,corsto,7,918.5
af,corsto,8,1093.7
af,corsto,9,1074.8
af,corsto,10,1129.2
af,corsto,11,1121.1
af,loninv,1,1222.3
af,loninv,2,928.12
af,loninv,3,841.13
af,loninv,4,763.1
af,loninv,5,1165.2
af,loninv,6,1607.9
af,loninv,8,1079.08
af,loninv,9,1095.3
af,loninv,11,1144.2
af,loninv,3_02,1638.75
af,popbal,1,1618.5
af,popbal,2_2,1340.8
af,popbal,2,1861.9
af,popbal,3,1890.7
af,popbal,4,1331.5
af,popbal,5,1037.7
af,popbal,6,1368.3
af,popbal,7,1481
af,popbal,8,1496.4
af,popbal,9,1760.7
af,poptre,3,1209.4
af,poptre,13,1780
af,poptre,4,1695.8
af,poptre,5,1743.7
af,poptre,6,1938.6
af,poptre,12_02,1831.2
af,poptre,8,1623.7
af,poptre,15,1873.6
af,poptre,9,1616.7
af,poptre,10,1317.7
af,poptre,11,1617.6
af,poptre,12,1668.4
af,riblac,1,770.8
