date,site,species,no,vol
03-Jul,afrf,acegla,1,3.32
11-Jun,afrf,acegla,3,3.42
13-Jun,afrf,acegla,5,3.08
13-Jun,afrf,acegla,6,3.43
13-Jun,afrf,acegla,7,4.11
13-Jun,afrf,acegla,8,3.31
13-Jun,afrf,acegla,9,3.61
13-Jun,afrf,acegla,10,3.01
02-Jul,afrf,acegla,11,3.25
02-Jul,afrf,acegla,12,3.12
11-Jun,afrf,alninc,1,4.67
02-Jul,afrf,alninc,5,2.79
03-Jul,afrf,alninc,6,3.57
03-Jul,afrf,alninc,7,3.27
11-Jun,afrf,alninc,9,2.61
11-Jun,afrf,alninc,10,4.53
04-Jul,afrf,alninc,11,2.68
04-Jul,afrf,alninc,12,3.43
04-Jul,afrf,alninc,13,2.7
12-Jun,afrf,alninc,20,4.05
02-Jul,afrf,alnvir,1,3.3
02-Jul,afrf,alnvir,2,3.69
02-Jul,afrf,alnvir,3,2.97
02-Jul,afrf,alnvir,4,3.05
02-Jul,afrf,alnvir,5,3.01
02-Jul,afrf,alnvir,11,2.99
02-Jul,afrf,alnvir,12,3.42
04-Jul,afrf,alnvir,13,2.25
04-Jul,afrf,alnvir,14,2.98
12-Jun,afrf,alnvir,20,3.3
11-Jun,afrf,amealn,1,2.34
11-Jun,afrf,amealn,2,5.06
11-Jun,afrf,amealn,3,2.38
11-Jun,afrf,amealn,5,3.23
02-Jul,afrf,amealn,6,2.73
02-Jul,afrf,amealn,7,4.13
02-Jul,afrf,amealn,8,3.39
02-Jul,afrf,amealn,9,1.78
02-Jul,afrf,amealn,10,2.65
02-Jul,afrf,amealn,12,3.61
11-Jun,afrf,betpap,1,3.86
12-Jun,afrf,betpap,3,3.52
12-Jun,afrf,betpap,4,3.4
12-Jun,afrf,betpap,5,3.5
11-Jun,afrf,betpap,7,3.43
11-Jun,afrf,betpap,8,2.94
11-Jun,afrf,betpap,9,4.36
11-Jun,afrf,betpap,10,4.01
11-Jun,afrf,betpap,11,3.24
12-Jun,afrf,betpap,2,5.24
12-Jun,afrf,betpap,6,3.58
11-Jun,afrf,corsto,1,2.43
13-Jun,afrf,corsto,3,3.59
11-Jun,afrf,corsto,4,2.22
11-Jun,afrf,corsto,5,2.45
02-Jul,afrf,corsto,6,2.82
02-Jul,afrf,corsto,7,2.06
02-Jul,afrf,corsto,8,2.37
02-Jul,afrf,corsto,9,2.19
02-Jul,afrf,corsto,10,2.86
03-Jul,afrf,corsto,11,2.84
12-Jun,afrf,loninv,1,2.79
11-Jun,afrf,loninv,2,1.94
11-Jun,afrf,loninv,3,1.59
02-Jul,afrf,loninv,4,1.64
02-Jul,afrf,loninv,5,2.61
03-Jul,afrf,loninv,6,3.47
13-Jun,afrf,loninv,8,2.37
04-Jul,afrf,loninv,9,2.26
03-Jul,afrf,loninv,11,2.94
12-Jun,afrf,loninv,3_02,3.76
11-Jun,afrf,popbal,1,3.84
11-Jun,afrf,popbal,2,3.82
12-Jun,afrf,popbal,2_2,3
11-Jun,afrf,popbal,3,4.38
02-Jul,afrf,popbal,4,2.8
02-Jul,afrf,popbal,5,2.18
02-Jul,afrf,popbal,6,2.83
02-Jul,afrf,popbal,7,3.18
02-Jul,afrf,popbal,8,3.04
03-Jul,afrf,popbal,9,3.4
02-Jul,afrf,poptre,3,3.44
02-Jul,afrf,poptre,4,3.52
02-Jul,afrf,poptre,5,3.34
02-Jul,afrf,poptre,6,3.68
13-Jun,afrf,poptre,8,3.89
13-Jun,afrf,poptre,9,3.67
11-Jun,afrf,poptre,10,2.9
13-Jun,afrf,poptre,11,3.31
13-Jun,afrf,poptre,12_02,3.89
02-Jul,afrf,poptre,12,3.46
13-Jun,afrf,poptre,13,4.03
02-Jul,afrf,poptre,15,3.46
12-Jun,afrf,riblac,1,1.29
12-Jun,afrf,riblac,2,2.7
02-Jul,afrf,riblac,4,2.17
02-Jul,afrf,riblac,6,2.47
02-Jul,afrf,riblac,7,2.68
04-Jul,afrf,riblac,8,1.64
03-Jul,afrf,riblac,10,1.85
03-Jul,afrf,riblac,11,1.73
04-Jul,afrf,riblac,12,1.59
12-Jun,afrf,riblac,20,2.04
12-Jun,afrf,rosaci,1,2.68
11-Jun,afrf,rosaci,2,3.03
11-Jun,afrf,rosaci,3,3.57
13-Jun,afrf,rosaci,4,2.37
