"bb","force.z2","photo.z2","population","species","lab2","Utah_Model","Chill_portions","chillport.z2","transect","species.fact"
39,-0.66884865181615,0.991604929977743,"mp","acegla","acegla_mp_",2025,75.3265282265417,0.595410963818184,"0",1
7,1.21547029091131,-1.00822666012584,"mp","amealn","amealn_mp_",2025,75.3265282265417,0.595410963818184,"0",7
10,-0.66884865181615,0.991604929977743,"mp","amealn","amealn_mp_",2025,75.3265282265417,0.595410963818184,"0",7
19,1.21547029091131,0.991604929977743,"mp","riblac","riblac_mp_",2025,75.3265282265417,0.595410963818184,"0",34
43,-0.66884865181615,-1.00822666012584,"mp","alnvir","alnvir_mp_",2025,75.3265282265417,0.595410963818184,"0",6
19,-0.66884865181615,-1.00822666012584,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
52,-0.66884865181615,0.991604929977743,"mp","poptre","poptre_mp_",2025,75.3265282265417,0.595410963818184,"0",26
10,1.21547029091131,-1.00822666012584,"mp","corsto","corsto_mp_",2025,75.3265282265417,0.595410963818184,"0",13
16,1.21547029091131,0.991604929977743,"mp","acegla","acegla_mp_",2025,75.3265282265417,0.595410963818184,"0",1
22,1.21547029091131,0.991604929977743,"mp","alninc","alninc_mp_",2025,75.3265282265417,0.595410963818184,"0",5
10,1.21547029091131,0.991604929977743,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
33,-0.66884865181615,-1.00822666012584,"mp","rubpar","rubpar_mp_",2025,75.3265282265417,0.595410963818184,"0",35
39,-0.66884865181615,0.991604929977743,"mp","alnvir","alnvir_mp_",2025,75.3265282265417,0.595410963818184,"0",6
10,1.21547029091131,0.991604929977743,"mp","rhoalb","rhoalb_mp_",2025,75.3265282265417,0.595410963818184,"0",32
16,1.21547029091131,-1.00822666012584,"mp","rhoalb","rhoalb_mp_",2025,75.3265282265417,0.595410963818184,"0",32
27,-0.66884865181615,0.991604929977743,"mp","sorsco","sorsco_mp_",2025,75.3265282265417,0.595410963818184,"0",38
10,1.21547029091131,0.991604929977743,"mp","rhoalb","rhoalb_mp_",2025,75.3265282265417,0.595410963818184,"0",32
36,-0.66884865181615,0.991604929977743,"mp","menfer","menfer_mp_",2025,75.3265282265417,0.595410963818184,"0",22
16,-0.66884865181615,0.991604929977743,"mp","corsto","corsto_mp_",2025,75.3265282265417,0.595410963818184,"0",13
24,-0.66884865181615,-1.00822666012584,"mp","alninc","alninc_mp_",2025,75.3265282265417,0.595410963818184,"0",5
27,-0.66884865181615,0.991604929977743,"mp","symalb","symalb_mp_",2025,75.3265282265417,0.595410963818184,"0",42
24,-0.66884865181615,-1.00822666012584,"mp","alninc","alninc_mp_",2025,75.3265282265417,0.595410963818184,"0",5
23,1.21547029091131,-1.00822666012584,"mp","alninc","alninc_mp_",2025,75.3265282265417,0.595410963818184,"0",5
20,1.21547029091131,-1.00822666012584,"mp","popbal","popbal_mp_",2025,75.3265282265417,0.595410963818184,"0",24
42,-0.66884865181615,0.991604929977743,"mp","alnvir","alnvir_mp_",2025,75.3265282265417,0.595410963818184,"0",6
24,-0.66884865181615,-1.00822666012584,"mp","shecan","shecan_mp_",2025,75.3265282265417,0.595410963818184,"0",37
42,-0.66884865181615,0.991604929977743,"mp","riblac","riblac_mp_",2025,75.3265282265417,0.595410963818184,"0",34
10,1.21547029091131,-1.00822666012584,"mp","alnvir","alnvir_mp_",2025,75.3265282265417,0.595410963818184,"0",6
19,-0.66884865181615,-1.00822666012584,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
0,1.21547029091131,-1.00822666012584,"mp","amealn","amealn_mp_",2025,75.3265282265417,0.595410963818184,"0",7
52,-0.66884865181615,0.991604929977743,"mp","poptre","poptre_mp_",2025,75.3265282265417,0.595410963818184,"0",26
16,-0.66884865181615,0.991604929977743,"mp","sorsco","sorsco_mp_",2025,75.3265282265417,0.595410963818184,"0",38
10,1.21547029091131,0.991604929977743,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
20,-0.66884865181615,0.991604929977743,"mp","rubpar","rubpar_mp_",2025,75.3265282265417,0.595410963818184,"0",35
27,-0.66884865181615,0.991604929977743,"mp","samrac","samrac_mp_",2025,75.3265282265417,0.595410963818184,"0",36
23,1.21547029091131,0.991604929977743,"mp","alnvir","alnvir_mp_",2025,75.3265282265417,0.595410963818184,"0",6
52,-0.66884865181615,0.991604929977743,"mp","menfer","menfer_mp_",2025,75.3265282265417,0.595410963818184,"0",22
31,1.21547029091131,0.991604929977743,"mp","menfer","menfer_mp_",2025,75.3265282265417,0.595410963818184,"0",22
5,1.21547029091131,0.991604929977743,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
24,-0.66884865181615,-1.00822666012584,"mp","popbal","popbal_mp_",2025,75.3265282265417,0.595410963818184,"0",24
19,-0.66884865181615,-1.00822666012584,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
19,1.21547029091131,-1.00822666012584,"mp","popbal","popbal_mp_",2025,75.3265282265417,0.595410963818184,"0",24
30,-0.66884865181615,0.991604929977743,"mp","popbal","popbal_mp_",2025,75.3265282265417,0.595410963818184,"0",24
7,1.21547029091131,-1.00822666012584,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
30,-0.66884865181615,0.991604929977743,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
10,-0.66884865181615,0.991604929977743,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
17,1.21547029091131,0.991604929977743,"mp","popbal","popbal_mp_",2025,75.3265282265417,0.595410963818184,"0",24
19,1.21547029091131,0.991604929977743,"mp","samrac","samrac_mp_",2025,75.3265282265417,0.595410963818184,"0",36
30,-0.66884865181615,-1.00822666012584,"mp","popbal","popbal_mp_",2025,75.3265282265417,0.595410963818184,"0",24
8,-0.66884865181615,0.991604929977743,"mp","sorsco","sorsco_mp_",2025,75.3265282265417,0.595410963818184,"0",38
16,-0.66884865181615,-1.00822666012584,"mp","vibedu","vibedu_mp_",2025,75.3265282265417,0.595410963818184,"0",46
10,1.21547029091131,-1.00822666012584,"mp","corsto","corsto_mp_",2025,75.3265282265417,0.595410963818184,"0",13
16,1.21547029091131,-1.00822666012584,"mp","vibedu","vibedu_mp_",2025,75.3265282265417,0.595410963818184,"0",46
49,-0.66884865181615,0.991604929977743,"mp","alnvir","alnvir_mp_",2025,75.3265282265417,0.595410963818184,"0",6
13,1.21547029091131,-1.00822666012584,"mp","vacmem","vacmem_mp_",2025,75.3265282265417,0.595410963818184,"0",43
30,-0.66884865181615,0.991604929977743,"mp","shecan","shecan_mp_",2025,75.3265282265417,0.595410963818184,"0",37
13,-0.66884865181615,-1.00822666012584,"mp","amealn","amealn_mp_",2025,75.3265282265417,0.595410963818184,"0",7
10,1.21547029091131,0.991604929977743,"mp","corsto","corsto_mp_",2025,75.3265282265417,0.595410963818184,"0",13
26,1.21547029091131,0.991604929977743,"mp","menfer","menfer_mp_",2025,75.3265282265417,0.595410963818184,"0",22
33,-0.66884865181615,-1.00822666012584,"mp","menfer","menfer_mp_",2025,75.3265282265417,0.595410963818184,"0",22
7,1.21547029091131,0.991604929977743,"mp","amealn","amealn_mp_",2025,75.3265282265417,0.595410963818184,"0",7
27,-0.66884865181615,0.991604929977743,"mp","acegla","acegla_mp_",2025,75.3265282265417,0.595410963818184,"0",1
16,-0.66884865181615,0.991604929977743,"mp","corsto","corsto_mp_",2025,75.3265282265417,0.595410963818184,"0",13
27,-0.66884865181615,-1.00822666012584,"mp","popbal","popbal_mp_",2025,75.3265282265417,0.595410963818184,"0",24
20,-0.66884865181615,0.991604929977743,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
26,1.21547029091131,-1.00822666012584,"mp","menfer","menfer_mp_",2025,75.3265282265417,0.595410963818184,"0",22
10,1.21547029091131,-1.00822666012584,"mp","amealn","amealn_mp_",2025,75.3265282265417,0.595410963818184,"0",7
7,-0.66884865181615,-1.00822666012584,"mp","acegla","acegla_mp_",2025,75.3265282265417,0.595410963818184,"0",1
23,1.21547029091131,-1.00822666012584,"mp","samrac","samrac_mp_",2025,75.3265282265417,0.595410963818184,"0",36
10,1.21547029091131,-1.00822666012584,"mp","amealn","amealn_mp_",2025,75.3265282265417,0.595410963818184,"0",7
34,1.21547029091131,-1.00822666012584,"mp","poptre","poptre_mp_",2025,75.3265282265417,0.595410963818184,"0",26
34,-0.66884865181615,0.991604929977743,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
10,-0.66884865181615,-1.00822666012584,"mp","amealn","amealn_mp_",2025,75.3265282265417,0.595410963818184,"0",7
20,-0.66884865181615,0.991604929977743,"mp","spibet","spibet_mp_",2025,75.3265282265417,0.595410963818184,"0",40
13,1.21547029091131,0.991604929977743,"mp","samrac","samrac_mp_",2025,75.3265282265417,0.595410963818184,"0",36
23,1.21547029091131,0.991604929977743,"mp","menfer","menfer_mp_",2025,75.3265282265417,0.595410963818184,"0",22
55,-0.66884865181615,-1.00822666012584,"mp","alnvir","alnvir_mp_",2025,75.3265282265417,0.595410963818184,"0",6
31,1.21547029091131,0.991604929977743,"mp","poptre","poptre_mp_",2025,75.3265282265417,0.595410963818184,"0",26
10,1.21547029091131,0.991604929977743,"mp","corsto","corsto_mp_",2025,75.3265282265417,0.595410963818184,"0",13
24,-0.66884865181615,-1.00822666012584,"mp","alninc","alninc_mp_",2025,75.3265282265417,0.595410963818184,"0",5
13,1.21547029091131,-1.00822666012584,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
13,-0.66884865181615,0.991604929977743,"mp","rhoalb","rhoalb_mp_",2025,75.3265282265417,0.595410963818184,"0",32
10,-0.66884865181615,0.991604929977743,"mp","amealn","amealn_mp_",2025,75.3265282265417,0.595410963818184,"0",7
13,-0.66884865181615,-1.00822666012584,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
33,-0.66884865181615,-1.00822666012584,"mp","acegla","acegla_mp_",2025,75.3265282265417,0.595410963818184,"0",1
43,-0.66884865181615,0.991604929977743,"mp","acegla","acegla_mp_",2025,75.3265282265417,0.595410963818184,"0",1
24,-0.66884865181615,0.991604929977743,"mp","alninc","alninc_mp_",2025,75.3265282265417,0.595410963818184,"0",5
10,1.21547029091131,0.991604929977743,"mp","symalb","symalb_mp_",2025,75.3265282265417,0.595410963818184,"0",42
27,-0.66884865181615,0.991604929977743,"mp","popbal","popbal_mp_",2025,75.3265282265417,0.595410963818184,"0",24
27,-0.66884865181615,-1.00822666012584,"mp","symalb","symalb_mp_",2025,75.3265282265417,0.595410963818184,"0",42
27,-0.66884865181615,-1.00822666012584,"mp","acegla","acegla_mp_",2025,75.3265282265417,0.595410963818184,"0",1
10,1.21547029091131,-1.00822666012584,"mp","riblac","riblac_mp_",2025,75.3265282265417,0.595410963818184,"0",34
5,1.21547029091131,0.991604929977743,"mp","amealn","amealn_mp_",2025,75.3265282265417,0.595410963818184,"0",7
17,1.21547029091131,-1.00822666012584,"mp","spipyr","spipyr_mp_",2025,75.3265282265417,0.595410963818184,"0",41
16,-0.66884865181615,0.991604929977743,"mp","corsto","corsto_mp_",2025,75.3265282265417,0.595410963818184,"0",13
16,-0.66884865181615,0.991604929977743,"mp","samrac","samrac_mp_",2025,75.3265282265417,0.595410963818184,"0",36
25,-0.66884865181615,-1.00822666012584,"mp","alninc","alninc_mp_",2025,75.3265282265417,0.595410963818184,"0",5
10,-0.66884865181615,0.991604929977743,"mp","amealn","amealn_mp_",2025,75.3265282265417,0.595410963818184,"0",7
10,1.21547029091131,0.991604929977743,"mp","amealn","amealn_mp_",2025,75.3265282265417,0.595410963818184,"0",7
33,-0.66884865181615,0.991604929977743,"mp","riblac","riblac_mp_",2025,75.3265282265417,0.595410963818184,"0",34
19,1.21547029091131,0.991604929977743,"mp","shecan","shecan_mp_",2025,75.3265282265417,0.595410963818184,"0",37
23,1.21547029091131,-1.00822666012584,"mp","rubpar","rubpar_mp_",2025,75.3265282265417,0.595410963818184,"0",35
10,1.21547029091131,0.991604929977743,"mp","rhoalb","rhoalb_mp_",2025,75.3265282265417,0.595410963818184,"0",32
23,-0.66884865181615,0.991604929977743,"mp","alninc","alninc_mp_",2025,75.3265282265417,0.595410963818184,"0",5
36,-0.66884865181615,-1.00822666012584,"mp","menfer","menfer_mp_",2025,75.3265282265417,0.595410963818184,"0",22
10,1.21547029091131,-1.00822666012584,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
16,1.21547029091131,0.991604929977743,"mp","shecan","shecan_mp_",2025,75.3265282265417,0.595410963818184,"0",37
30,-0.66884865181615,0.991604929977743,"mp","rubpar","rubpar_mp_",2025,75.3265282265417,0.595410963818184,"0",35
12,-0.66884865181615,0.991604929977743,"mp","spibet","spibet_mp_",2025,75.3265282265417,0.595410963818184,"0",40
19,1.21547029091131,-1.00822666012584,"mp","shecan","shecan_mp_",2025,75.3265282265417,0.595410963818184,"0",37
30,-0.66884865181615,-1.00822666012584,"mp","rhoalb","rhoalb_mp_",2025,75.3265282265417,0.595410963818184,"0",32
19,1.21547029091131,0.991604929977743,"mp","popbal","popbal_mp_",2025,75.3265282265417,0.595410963818184,"0",24
84,-0.66884865181615,0.991604929977743,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
52,-0.66884865181615,-1.00822666012584,"mp","riblac","riblac_mp_",2025,75.3265282265417,0.595410963818184,"0",34
22,1.21547029091131,0.991604929977743,"mp","alninc","alninc_mp_",2025,75.3265282265417,0.595410963818184,"0",5
19,-0.66884865181615,-1.00822666012584,"mp","rhoalb","rhoalb_mp_",2025,75.3265282265417,0.595410963818184,"0",32
19,1.21547029091131,0.991604929977743,"mp","popbal","popbal_mp_",2025,75.3265282265417,0.595410963818184,"0",24
16,-0.66884865181615,0.991604929977743,"mp","alninc","alninc_mp_",2025,75.3265282265417,0.595410963818184,"0",5
52,-0.66884865181615,-1.00822666012584,"mp","alnvir","alnvir_mp_",2025,75.3265282265417,0.595410963818184,"0",6
46,-0.66884865181615,0.991604929977743,"mp","loninv","loninv_mp_",2025,75.3265282265417,0.595410963818184,"0",20
24,-0.66884865181615,-1.00822666012584,"mp","amealn","amealn_mp_",2025,75.3265282265417,0.595410963818184,"0",7
10,-0.66884865181615,-1.00822666012584,"mp","samrac","samrac_mp_",2025,75.3265282265417,0.595410963818184,"0",36
