date,site,species,indiv.no,stem.wt,dist.top,dist.btm,ht,dbh,dbh2,dbh3
03-Jul,af,acegla,1,NA,NA,NA,2.894,1.881,NA,NA
11-Jun,af,acegla,3,NA,7,5,4.898979486,9.3,2,NA
13-Jun,af,acegla,5,NA,8,6,5.291502622,3,3.4,3.2
13-Jun,af,acegla,6,NA,9,6,6.708203932,4.2,8.2,3.2
13-Jun,af,acegla,7,NA,9,7,5.656854249,5.1,6.9,9
13-Jun,af,acegla,8,NA,8,6,5.291502622,6.5,7.5,5.9
13-Jun,af,acegla,9,NA,7,4,5.744562647,4.5,6.5,7
13-Jun,af,acegla,10,NA,NA,NA,4.896,2.7,4.2,4.3
02-Jul,af,acegla,11,NA,NA,NA,4.666,2.411,NA,NA
02-Jul,af,acegla,12,NA,NA,NA,3.359,1.632,NA,NA
11-Jun,af,alninc,1,NA,NA,NA,2.845,2.1,NA,NA
02-Jul,af,alninc,1,NA,NA,NA,2.334,0.816,1.525,NA
02-Jul,af,alninc,5,NA,5,3,4,2.655,4.354,NA
03-Jul,af,alninc,6,NA,8,6,5.291502622,7.8,8.9,7.2
03-Jul,af,alninc,7,NA,8,7,3.872983346,4.2,5.5,4.3
11-Jun,af,alninc,9,NA,6,5,3.31662479,4.7,NA,NA
11-Jun,af,alninc,10,NA,10,9,4.358898944,3.4,3.5,4.2
04-Jul,af,alninc,12,NA,6,3,5.196152423,4.644,3.848,3.295
04-Jul,af,alninc,13,NA,7,5,4.898979486,3.385,5.925,3.35
04-Jul,af,alninc,14,NA,NA,NA,3.192,1.947,1.721,NA
12-Jun,af,alninc,20,NA,NA,NA,4.653,4.1,3.3,2.8
02-Jul,af,alnvir,1,NA,NA,NA,2.334,0.816,1.525,NA
02-Jul,af,alnvir,2,NA,NA,NA,3.11,1.509,1.382,1.231
02-Jul,af,alnvir,3,NA,NA,NA,3.385,1.692,2.055,1.509
02-Jul,af,alnvir,4,NA,NA,NA,3.334,1.317,1.24,1.42
02-Jul,af,alnvir,5,NA,NA,NA,2.176,1.294,0.915,0.888
02-Jul,af,alnvir,11,NA,NA,NA,3.486,1.924,1.328,0.865
02-Jul,af,alnvir,12,NA,NA,NA,3.396,1.409,1.232,1.17
04-Jul,af,alnvir,13,NA,NA,NA,2.765,1.928,1.953,3.163
04-Jul,af,alnvir,14,NA,NA,NA,3.964,2.588,1.821,1.764
12-Jun,af,alnvir,20,NA,NA,NA,4.392,4,5.2,4.5
11-Jun,af,amealn,1,NA,NA,NA,1.807,1.588,1.312,1.13
11-Jun,af,amealn,2,NA,NA,NA,1.577,1.183,NA,NA
11-Jun,af,amealn,3,NA,NA,NA,2.342,1.986,NA,NA
11-Jun,af,amealn,5,NA,NA,NA,2.104,2.357,NA,NA
02-Jul,af,amealn,6,NA,NA,NA,2.747,1.536,NA,NA
02-Jul,af,amealn,7,NA,NA,NA,2.434,1.432,1.036,NA
02-Jul,af,amealn,8,NA,NA,NA,2.046,1.238,1.387,1.034
02-Jul,af,amealn,9,NA,NA,NA,1.821,1.293,NA,NA
02-Jul,af,amealn,10,NA,NA,NA,1.98,1.095,NA,NA
02-Jul,af,amealn,12,NA,NA,NA,3.642,1.002,NA,NA
11-Jun,af,betpap,1,NA,19,14,12.84523258,36.9,NA,NA
12-Jun,af,betpap,3,NA,13,8,10.24695077,10.5,NA,NA
12-Jun,af,betpap,4,NA,12,8,8.94427191,18,NA,NA
12-Jun,af,betpap,5,NA,14,7,12.12435565,18.5,NA,NA
11-Jun,af,betpap,7,NA,12,10,6.633249581,10,NA,NA
11-Jun,af,betpap,8,NA,13,8,10.24695077,12.6,NA,NA
11-Jun,af,betpap,9,NA,14,11,8.660254038,12.9,NA,NA
11-Jun,af,betpap,10,NA,10,8,6,9.9,NA,NA
11-Jun,af,betpap,11,NA,20,14,14.28285686,33.1,NA,NA
12-Jun,af,betpap,2_02,NA,12,9,7.937253933,9.9,NA,NA
12-Jun,af,betpap ,6,NA,13,8,10.24695077,10.6,NA,NA
11-Jun,af,corsto,1,NA,NA,NA,1.318,14.1,NA,NA
13-Jun,af,corsto,3,NA,NA,NA,3.632,1.534,0.67,NA
11-Jun,af,corsto,4,NA,NA,NA,2.231,1.451,NA,NA
11-Jun,af,corsto,5,NA,NA,NA,3.198,2.971,NA,NA
02-Jul,af,corsto,6,NA,NA,NA,1.6,1.701,NA,NA
02-Jul,af,corsto,7,NA,NA,NA,1.81,1.809,NA,NA
02-Jul,af,corsto,8,NA,NA,NA,1.616,0.954,NA,NA
02-Jul,af,corsto,9,NA,NA,NA,2.738,1.124,NA,NA
02-Jul,af,corsto,10,NA,NA,NA,2.324,1.732,1.538,NA
03-Jul,af,corsto,11,NA,NA,NA,2.724,2.348,NA,NA
12-Jun,af,loninv,1,NA,NA,NA,1.234,1.275,NA,NA
11-Jun,af,loninv,2,NA,NA,NA,1.173,1.164,NA,NA
11-Jun,af,loninv,3,NA,NA,NA,1.396,1.201,NA,NA
02-Jul,af,loninv,4,NA,NA,NA,1.221,0.721,NA,NA
02-Jul,af,loninv,5,NA,NA,NA,1.208,1.198,NA,NA
03-Jul,af,loninv,6,NA,NA,NA,1.406,1.111,NA,NA
13-Jun,af,loninv,8,NA,NA,NA,1.062,1.007,NA,NA
04-Jul,af,loninv,9,NA,NA,NA,1.79,1.555,NA,NA
03-Jul,af,loninv,11,NA,NA,NA,1.592,2.74,1.599,3.474
12-Jun,af,loninv,3_02,NA,NA,NA,2.463,2.071,NA,NA
11-Jun,af,popbal,1,NA,7,6,3.605551275,6.3,6.5,6.2
12-Jun,af,popbal,2,NA,18,12,13.41640786,14.2,NA,NA
11-Jun,af,popbal,2,NA,28,21,18.52025918,34.6,NA,NA
11-Jun,af,popbal,3,NA,9,7,5.656854249,10.8,NA,NA
02-Jul,af,popbal,4,NA,11,8,7.549834435,5.742,NA,NA
02-Jul,af,popbal,5,NA,10,8,6,5.96,NA,NA
02-Jul,af,popbal,6,NA,7,4,5.744562647,4.672,NA,NA
02-Jul,af,popbal,7,NA,6,5,3.31662479,4.175,1.496,NA
02-Jul,af,popbal,8,NA,6,5,3.31662479,2.499,NA,NA
03-Jul,af,popbal,9,NA,11,8,7.549834435,9.906,NA,NA
02-Jul,af,poptre,3,NA,8,6,5.291502622,5.4,NA,NA
02-Jul,af,poptre,4,NA,7,5,4.898979486,4.4,NA,NA
02-Jul,af,poptre,5,NA,6,5,3.31662479,6,NA,NA
02-Jul,af,poptre,6,NA,15,8,12.68857754,12.7,NA,NA
13-Jun,af,poptre,8,NA,6,4,4.472135955,8.1,NA,NA
13-Jun,af,poptre,9,NA,9,4,8.062257748,8,NA,NA
11-Jun,af,poptre,10,NA,NA,NA,4.209,3.6,NA,NA
13-Jun,af,poptre,11,NA,11,8,7.549834435,11.7,NA,NA
02-Jul,af,poptre,12,NA,10,5,8.660254038,7.844,NA,NA
13-Jun,af,poptre,12,NA,21,11,17.88854382,17.5,NA,NA
13-Jun,af,poptre,13,NA,17,14,9.643650761,6,NA,NA
02-Jul,af,poptre,15,NA,NA,NA,2.91,2.744,NA,NA
12-Jun,af,riblac,1,NA,NA,NA,0.46,0.408,NA,NA
12-Jun,af,riblac,2,NA,NA,NA,0.531,0.687,NA,NA
02-Jul,af,riblac,4,NA,NA,NA,0.9,0.721,NA,NA
02-Jul,af,riblac,6,NA,NA,NA,1.073,0.636,0.6,NA
02-Jul,af,riblac,7,NA,NA,NA,0.921,0.799,NA,NA
04-Jul,af,riblac,8,NA,NA,NA,1.431,0.91,NA,NA
03-Jul,af,riblac,9,NA,NA,NA,NA,NA,NA,NA
03-Jul,af,riblac,10,NA,NA,NA,1.294,0.803,NA,NA
03-Jul,af,riblac,11,NA,NA,NA,0.915,0.756,NA,NA
04-Jul,af,riblac,12,NA,NA,NA,1.129,0.808,NA,NA
12-Jun,af,riblac,20,NA,NA,NA,0.755,0.504,NA,NA
12-Jun,af,rosaci,1,NA,NA,NA,1.546,0.842,NA,NA
11-Jun,af,rosaci,2,NA,NA,NA,1.846,1.452,NA,NA
11-Jun,af,rosaci,3,NA,NA,NA,1.443,1.051,NA,NA
13-Jun,af,rosaci,4,NA,NA,NA,1.513,1.063,NA,NA
11-Jun,af,rosaci,5,NA,NA,NA,1.764,1.508,NA,NA
02-Jul,af,rosaci,8,NA,NA,NA,0.986,0.722,NA,NA
02-Jul,af,rosgym,1,NA,NA,NA,1.017,0.639,NA,NA
02-Jul,af,rosgym,2,NA,NA,NA,0.836,0.438,NA,NA
02-Jul,af,rosgym,3,NA,NA,NA,1.097,0.649,NA,NA
03-Jul,af,rosgym,4,NA,NA,NA,0.96,0.543,NA,NA
03-Jul,af,rosgym,5,NA,NA,NA,1.572,0.808,NA,NA
02-Jul,af,rosgym,6,NA,NA,NA,0.914,0.749,NA,NA
02-Jul,af,rosgym,7,NA,NA,NA,1.5,1.077,NA,NA
03-Jul,af,rosgym,8,NA,NA,NA,1.203,0.808,NA,NA
02-Jul,af,rosgym,10,NA,NA,NA,1.486,0.911,0.886,0.657
04-Jul,af,rosgym,11,NA,NA,NA,0.974,0.569,NA,NA
02-Jul,af,rubida,4,NA,NA,NA,0.715,0.477,NA,NA
