site,species,indiv.no,date.x,stem.wt,dist.top,dist.btm,ht,dbh,dbh2,dbh3,date.y,collected.by,leaf.no,area,
kl,acegla,3,26-Jul,NA,NA,NA,470.3,2.546,2.037,NA,26-Jul-19,slh,1,36.227,
kl,acegla,3,26-Jul,NA,NA,NA,470.3,2.546,2.037,NA,26-Jul-19,slh,2,22.708,
kl,acegla,3,26-Jul,NA,NA,NA,470.3,2.546,2.037,NA,26-Jul-19,slh,3,32.044,
kl,acegla,3,26-Jul,NA,NA,NA,470.3,2.546,2.037,NA,26-Jul-19,slh,4,44.27,
kl,acegla,3,26-Jul,NA,NA,NA,470.3,2.546,2.037,NA,26-Jul-19,slh,5,36.198,
kl,acegla,4,24-Jul,NA,7,6,3.605551275,13.1,NA,NA,24-Jul-19,my,1,67.789,
kl,acegla,4,24-Jul,NA,7,6,3.605551275,13.1,NA,NA,24-Jul-19,my,2,40.704,
kl,acegla,4,24-Jul,NA,7,6,3.605551275,13.1,NA,NA,24-Jul-19,my,3,54.531,
kl,acegla,4,24-Jul,NA,7,6,FALSE,13.1,NA,NA,24-Jul-19,my,4,61.705,
kl,acegla,4,24-Jul,NA,7,6,3.605551275,13.1,NA,NA,24-Jul-19,my,5,42.294,
kl,acegla,5,24-Jul,NA,11,6,9.219544457,9.6,6.9,NA,24-Jul-19,my,1,109.164,
kl,acegla,5,24-Jul,NA,11,6,9.219544457,9.6,6.9,NA,24-Jul-19,my,2,47.15,
kl,acegla,5,24-Jul,NA,11,6,9.219544457,9.6,6.9,NA,24-Jul-19,my,3,55.946,
kl,acegla,5,24-Jul,NA,11,6,9.219544457,9.6,6.9,NA,24-Jul-19,my,4,99.294,
kl,acegla,5,24-Jul,NA,11,6,9.219544457,9.6,6.9,NA,24-Jul-19,my,5,60.704,
kl,acegla,6,24-Jul,NA,7,6,3.605551275,6.1,NA,NA,24-Jul-19,my,1,71.959,
kl,acegla,6,24-Jul,NA,7,6,3.605551275,6.1,NA,NA,24-Jul-19,my,2,68.965,
kl,acegla,6,24-Jul,NA,7,6,3.605551275,6.1,NA,NA,24-Jul-19,my,3,38.061,
kl,acegla,6,24-Jul,NA,7,6,3.605551275,6.1,NA,NA,24-Jul-19,my,4,68.213,
kl,acegla,6,24-Jul,NA,7,6,3.605551275,6.1,NA,NA,24-Jul-19,my,5,76.784,
kl,acegla,7,24-Jul,NA,12,6,10.39230485,6.5,8.4,8.1,24-Jul-19,my,1,51.758,
kl,acegla,7,24-Jul,NA,12,6,10.39230485,6.5,8.4,8.1,24-Jul-19,my,2,29,
kl,acegla,7,24-Jul,NA,12,6,10.39230485,6.5,8.4,8.1,24-Jul-19,my,3,65.057,
kl,acegla,7,24-Jul,NA,12,6,10.39230485,6.5,8.4,8.1,24-Jul-19,my,4,78.059,
kl,acegla,7,24-Jul,NA,12,6,10.39230485,6.5,8.4,8.1,24-Jul-19,my,5,38.372,
kl,acegla,8,25-Jul,NA,11,9,6.32455532,6.143,8.48,7.224,25-Jul-19,slh,1,53.297,
kl,acegla,8,25-Jul,NA,11,9,6.32455532,6.143,8.48,7.224,25-Jul-19,slh,2,35.712,
kl,acegla,8,25-Jul,NA,11,9,6.32455532,6.143,8.48,7.224,25-Jul-19,slh,3,74.888,
kl,acegla,8,25-Jul,NA,11,9,6.32455532,6.143,8.48,7.224,25-Jul-19,slh,4,31.066,
kl,acegla,8,25-Jul,NA,11,9,6.32455532,6.143,8.48,7.224,25-Jul-19,slh,5,56.541,
kl,acegla,9,28-Jul,NA,7,6,3.605551275,4.034,NA,NA,28-Jul-19,slh,1,28.703,
kl,acegla,9,28-Jul,NA,7,6,3.605551275,4.034,NA,NA,28-Jul-19,slh,2,40.598,
kl,acegla,9,28-Jul,NA,7,6,3.605551275,4.034,NA,NA,28-Jul-19,slh,3,33.753,
