date,site,species,no,leaf,weight,
03-Jul,AF,acegla,1,1,201.5,
03-Jul,AF,acegla,1,2,375,
03-Jul,AF,acegla,1,3,535.2,
03-Jul,AF,acegla,1,4,251.4,
03-Jul,AF,acegla,1,5,227,
11-Jun,AF,acegla,3,1,287.9,
11-Jun,AF,acegla,3,2,197,
11-Jun,AF,acegla,3,3,40.9,
11-Jun,AF,acegla,3,4,132.4,
11-Jun,AF,acegla,3,5,401.9,
13-Jun,AF,acegla,5,1,310.8,
13-Jun,AF,acegla,5,2,341.2,
13-Jun,AF,acegla,5,3,489.3,
13-Jun,AF,acegla,5,4,188.7,
13-Jun,AF,acegla,5,5,458.5,
13-Jun,AF,acegla,6,1,319.8,
13-Jun,AF,acegla,6,2,180.4,
13-Jun,AF,acegla,6,3,159.2,
13-Jun,AF,acegla,6,4,288.7,
13-Jun,AF,acegla,6,5,377.3,
13-Jun,AF,acegla,7,1,270,
13-Jun,AF,acegla,7,2,268.5,
13-Jun,AF,acegla,7,3,371.5,
13-Jun,AF,acegla,7,4,336.4,
13-Jun,AF,acegla,7,5,463.2,
13-Jun,AF,acegla,8,1,598,
13-Jun,AF,acegla,8,2,201.5,
13-Jun,AF,acegla,8,3,303.5,
13-Jun,AF,acegla,8,4,372.2,
13-Jun,AF,acegla,8,5,442.1,
13-Jun,AF,acegla,9,1,476.9,
13-Jun,AF,acegla,9,2,250.9,
13-Jun,AF,acegla,9,3,399.8,
13-Jun,AF,acegla,9,4,318.1,
13-Jun,AF,acegla,9,5,447.4,
13-Jun,AF,acegla,10,1,134.9,
13-Jun,AF,acegla,10,2,116.2,
13-Jun,AF,acegla,10,3,129,
13-Jun,AF,acegla,10,4,137.3,
13-Jun,AF,acegla,10,5,173,
02-Jul,AF,acegla,11,1,109.5,
02-Jul,AF,acegla,11,2,47.4,
02-Jul,AF,acegla,11,3,49.5,
02-Jul,AF,acegla,11,4,97,
02-Jul,AF,acegla,11,5,87,
02-Jul,AF,acegla,12,1,54.4,
02-Jul,AF,acegla,12,2,63,
02-Jul,AF,acegla,12,3,67.5,
02-Jul,AF,acegla,12,4,96.5,
02-Jul,AF,acegla,12,5,54.1,
11-Jun,AF,alninc,1,1,,
11-Jun,AF,alninc,1,2,,
11-Jun,AF,alninc,1,3,,
11-Jun,AF,alninc,1,4,,
11-Jun,AF,alninc,1,5,,
02-Jul,AF,alninc,5,1,120.6,
02-Jul,AF,alninc,5,2,127.5,
02-Jul,AF,alninc,5,3,108,
02-Jul,AF,alninc,5,4,100.2,
02-Jul,AF,alninc,5,5,111.2,
03-Jul,AF,alninc,6,1,107.2,
03-Jul,AF,alninc,6,2,63.8,
03-Jul,AF,alninc,6,3,105.7,
03-Jul,AF,alninc,6,4,151.9,
03-Jul,AF,alninc,6,5,111.6,
03-Jul,AF,alninc,7,1,94,
03-Jul,AF,alninc,7,2,101.4,
03-Jul,AF,alninc,7,3,111.5,
03-Jul,AF,alninc,7,4,63.1,
03-Jul,AF,alninc,7,5,45.5,
11-Jun,AF,alninc,9,1,241.5,
11-Jun,AF,alninc,9,2,363.8,
11-Jun,AF,alninc,9,3,189.1,
11-Jun,AF,alninc,9,4,198.7,
11-Jun,AF,alninc,9,5,212.6,
11-Jun,AF,alninc,10,1,172.7,
11-Jun,AF,alninc,10,2,116.9,
11-Jun,AF,alninc,10,3,130.9,
11-Jun,AF,alninc,10,4,179.5,
11-Jun,AF,alninc,10,5,226.1,
04-Jul,AF,alninc,11,1,164,
04-Jul,AF,alninc,11,2,116.1,
04-Jul,AF,alninc,11,3,132.8,
04-Jul,AF,alninc,11,4,99.6,
04-Jul,AF,alninc,11,5,42.9,
04-Jul,AF,alninc,12,1,121.8,
04-Jul,AF,alninc,12,2,166.3,
04-Jul,AF,alninc,12,3,164.6,
04-Jul,AF,alninc,12,4,103.5,
04-Jul,AF,alninc,12,5,118.8,
04-Jul,AF,alninc,13,1,187.1,
04-Jul,AF,alninc,13,2,133.1,
04-Jul,AF,alninc,13,3,116.7,
04-Jul,AF,alninc,13,4,155.4,
04-Jul,AF,alninc,13,5,95.3,
12-Jun,AF,alninc,20,1,126.2,
12-Jun,AF,alninc,20,2,178.7,
12-Jun,AF,alninc,20,3,104.8,
12-Jun,AF,alninc,20,4,165.8,
12-Jun,AF,alninc,20,5,192.2,
02-Jul,AF,alnvir,1,1,214.8,
02-Jul,AF,alnvir,1,2,130.2,
02-Jul,AF,alnvir,1,3,187.5,
02-Jul,AF,alnvir,1,4,137.5,
02-Jul,AF,alnvir,1,5,157.9,
02-Jul,AF,alnvir,2,1,117.9,
02-Jul,AF,alnvir,2,2,108.5,
02-Jul,AF,alnvir,2,3,109.4,
02-Jul,AF,alnvir,2,4,99.1,
02-Jul,AF,alnvir,2,5,105.9,
02-Jul,AF,alnvir,3,1,157.3,
02-Jul,AF,alnvir,3,2,116.2,
02-Jul,AF,alnvir,3,3,149.6,
02-Jul,AF,alnvir,3,4,180.9,
02-Jul,AF,alnvir,3,5,193.6,
02-Jul,AF,alnvir,4,1,255.4,
02-Jul,AF,alnvir,4,2,245.3,
02-Jul,AF,alnvir,4,3,276.1,
02-Jul,AF,alnvir,4,4,271.6,
02-Jul,AF,alnvir,4,5,152.5,
02-Jul,AF,alnvir,5,1,145.6,
02-Jul,AF,alnvir,5,2,104.7,
02-Jul,AF,alnvir,5,3,144.4,
02-Jul,AF,alnvir,5,4,112.1,
02-Jul,AF,alnvir,5,5,94.7,
13-Jun,AF,alnvir,8,1,,
13-Jun,AF,alnvir,8,2,,
13-Jun,AF,alnvir,8,3,,
13-Jun,AF,alnvir,8,4,,
13-Jun,AF,alnvir,8,5,,
02-Jul,AF,alnvir,11,1,143.2,
02-Jul,AF,alnvir,11,2,109.2,
02-Jul,AF,alnvir,11,3,77.1,
02-Jul,AF,alnvir,11,4,118.9,
02-Jul,AF,alnvir,11,5,87.5,
02-Jul,AF,alnvir,12,1,159.8,
02-Jul,AF,alnvir,12,2,194.2,
02-Jul,AF,alnvir,12,3,142.8,
02-Jul,AF,alnvir,12,4,167,
02-Jul,AF,alnvir,12,5,203.1,
04-Jul,AF,alnvir,13,1,144.4,
04-Jul,AF,alnvir,13,2,146.4,
04-Jul,AF,alnvir,13,3,177.8,
04-Jul,AF,alnvir,13,4,157.3,
04-Jul,AF,alnvir,13,5,130.7,
04-Jul,AF,alnvir,14,1,256.2,
04-Jul,AF,alnvir,14,2,300.3,
04-Jul,AF,alnvir,14,3,163.3,
04-Jul,AF,alnvir,14,4,177.8,
04-Jul,AF,alnvir,14,5,325.4,
12-Jun,AF,alnvir,20,1,240.5,
12-Jun,AF,alnvir,20,2,241.2,
12-Jun,AF,alnvir,20,3,127.7,
12-Jun,AF,alnvir,20,4,152.7,
12-Jun,AF,alnvir,20,5,161.1,
11-Jun,AF,amealn,1,1,87.6,
11-Jun,AF,amealn,1,2,87.8,
11-Jun,AF,amealn,1,3,74.1,
11-Jun,AF,amealn,1,4,44.6,
11-Jun,AF,amealn,1,5,84.2,
11-Jun,AF,amealn,2,1,46.6,
11-Jun,AF,amealn,2,2,65.1,
11-Jun,AF,amealn,2,3,106.2,
11-Jun,AF,amealn,2,4,104.4,
11-Jun,AF,amealn,2,5,69.4,
11-Jun,AF,amealn,3,1,,
11-Jun,AF,amealn,3,2,,
11-Jun,AF,amealn,3,3,,
11-Jun,AF,amealn,3,4,,
11-Jun,AF,amealn,3,5,,
,AF,amealn,5,1,79.6,
,AF,amealn,5,1,79.6,
,AF,amealn,5,2,91,
,AF,amealn,5,3,68.7,
,AF,amealn,5,4,129.8,
,AF,amealn,5,5,128.4,
02-Jul,AF,amealn,6,1,79.4,
02-Jul,AF,amealn,6,2,109,
02-Jul,AF,amealn,6,3,91.2,
02-Jul,AF,amealn,6,4,114.9,
02-Jul,AF,amealn,6,5,76.3,
02-Jul,AF,amealn,7,1,102.2,
02-Jul,AF,amealn,7,2,140.6,
02-Jul,AF,amealn,7,3,124.4,
02-Jul,AF,amealn,7,4,112.5,
02-Jul,AF,amealn,7,5,72.2,
02-Jul,AF,amealn,8,1,79.1,
02-Jul,AF,amealn,8,2,114.4,
02-Jul,AF,amealn,8,3,79.8,
02-Jul,AF,amealn,8,4,93.9,
02-Jul,AF,amealn,8,5,92.5,
02-Jul,AF,amealn,9,1,72,
02-Jul,AF,amealn,9,2,31.2,
02-Jul,AF,amealn,9,3,44.1,
02-Jul,AF,amealn,9,4,30,
02-Jul,AF,amealn,9,5,81.2,
02-Jul,AF,amealn,10,1,56.4,
02-Jul,AF,amealn,10,2,54.8,
