date,site,species,no,dist.top,dist.btm,ht,dbh,dbh2,dbh3,vol
29-May,sm,acegla,9,11,13,,5,,,
29-May,sm,acegla,10,11,12,,24,29.9,14.9,
29-May,sm,alnvir,8,6,7,,3.5,4.1,3.5,
29-May,sm,amealn,2,,,293,2.04,,,
29-May,sm,amealn,9,,,353.5,2.39,,,
29-May,sm,amealn,10,,,215.1,1.66,,,
29-May,sm,amelan,8,,,320.2,2.48,,,
29-May,sm,betpap,8,13,17,,30.1,,,
29-May,sm,betpap,9,13,17,,21.3,,,
29-May,sm,betpap,10,14,18,,21.9,,,
29-May,sm,betpap,13,7,9,,13.1,,,
29-May,sm,corsto,11,,,300.2,2.26,,,
29-May,sm,loninv,6,,,215.1,2.01,,,
29-May,sm,roasaci,4,,,161.2,1.5,,,
29-May,sm,roasaci,7,,,160,1.43,,,
29-May,sm,rosaci,8,,,197.2,1.88,,,
29-May,sm,rosaci,9,,,184.2,1.97,,,
29-May,sm,rosaci,10,,,174.5,1.4,,,
29-May,sm,rubpar,4,,,94.1,0.7,,,
29-May,sm,rubpar,5,,,102.3,0.92,,,
29-May,sm,rubpar,7,,,88.8,,,,
29-May,sm,rubpar,10,,,66.4,,,,
29-May,sm,spibet,1,,,48.9,,,,
29-May,sm,spibet,2,,,50.6,,,,
29-May,sm,spibet,3,,,58.2,,,,
29-May,sm,spibet,4,,,55.4,,,,
29-May,sm,spibet,5,,,65.9,,,,
29-May,sm,spibet,6,,,77.1,,,,
29-May,sm,spibet,7,,,90.5,,,,
29-May,sm,spibet,8,,,64.7,,,,
29-May,sm,spibet,9,,,61.7,,,,
29-May,sm,spibet,10,,,75.5,,,,
29-May,sm,symalb,4,,,139.3,1.14,,,
29-May,sm,symalb,11,,,127.1,1.27,,,
29-May,sm,vibedu,7,,,235,1.72,,,
29-May,sm,vibedu,12,,,160.4,1.37,,,
30-May,sm,acegla,2,10,7,,0.524,,,
30-May,sm,acegla,11,7,6,,2.2,,,
30-May,sm,alninc,8,9,6,,26.9,15.7,11.9,
30-May,sm,alnvir,1,11,8,,26.4,22.2,24.1,
30-May,sm,alnvir,7,10,7,,26.7,16.8,8.3,
30-May,sm,betpap,2,15,10,,8.6,,,
30-May,sm,betpap,4,15,11,,16.9,,,
30-May,sm,betpap,7,17,15,,27.3,,,
30-May,sm,corsto,2,,,107.4,0.879,,,
30-May,sm,corsto,3,,,150,1.214,,,
30-May,sm,corsto,4,,,181.7,1.261,,,
30-May,sm,corsto,5,,,143,0.873,,,
30-May,sm,loninv,7,,,190.2,1.245,,,
30-May,sm,loninv,8,,,134.2,0.902,,,
30-May,sm,loninv,9,,,183.4,1.398,,,
30-May,sm,popbal,1,,,317.6,2,,,
30-May,sm,popbal,8,12,10,,11.1,,,
